EventID,LocationID,NPeople,NLanterns,NCars,Comments,autonumber
1509,"41100",182,,,,8578
1509,"41200",208,,,,8579
1509,"41300",999,,,,8580
1509,"41400",802,,,,8581
1509,"42500",388,,,,8582
1509,"42600",1008,,,,8583
1510,"31002",25,,,,8584
1510,"31005",1724,,,,8585
1510,"32007",978,,,,8586
1510,"32009",848,,,,8587
1510,"33012",1760,,,,8588
1510,"33013",44,,,,8589
1511,"41100",289,,,,8590
1511,"41200",515,,,,8591
1511,"41300",792,,,,8592
1511,"41400",900,,,,8593
1511,"42500",328,,,,8594
1511,"42600",1245,,,,8595
1512,"41100",275,,,,8596
1512,"41200",455,,,,8597
1512,"41300",1203,,,,8598
1512,"41400",1199,,,,8599
1512,"42500",354,,,,8600
1512,"42600",1374,,,,8601
1513,"41100",419,,,,8602
1513,"41200",551,,,,8603
1513,"41300",1228,,,,8604
1513,"41400",1226,,,,8605
1513,"42500",429,,,,8606
1513,"42600",1132,,,,8607
1514,"21200",2237,,,,8608
1514,"22307",1450,,,,8609
1514,"22309",1832,,,,8610
1515,"21200",1273,,,,8611
1515,"22307",1268,,,,8612
1515,"22309",1458,,,,8613
1516,"11101",158,,,,8614
1516,"11104",441,,,,8615
1516,"11200",549,,,,8616
1516,"12300",273,,,,8617
1516,"12400",1969,,,,8618
1516,"12500",1311,,,,8619
1516,"12600",3297,,,,8620
1517,"11101",190,,,,8621
1517,"11104",503,,,,8622
1517,"11200",620,,,,8623
1517,"12300",301,,,,8625
1517,"12400",1055,,,,8626
1517,"12500",1264,,,,8627
1517,"12600",4470,,,,8628
1518,"21200",,,110,,8629
1518,"22307",,,85,,8630
1518,"22309",,,146,,8631
1519,"41100",,,10,,8632
1519,"41200",,,25,,8633
1519,"41300",,,107,,8634
1519,"41400",,,99,,8635
1519,"42500",,,19,,8636
1519,"42600",,,101,,8637
1520,"21200",,,58,,8638
1520,"22307",,,107,,8639
1520,"22309",,,113,,8640
1521,"31002",,,1,,8641
1521,"31005",,,153,,8642
1521,"32007",,,67,,8643
1521,"32009",,,93,,8644
1521,"33012",,,192,,8645
1521,"33012",3,,,,8646
1532,"41200",27,,,,8692
1532,"41300",119,,,,8693
1532,"41400",118,,,,8694
1532,"42500",40,,,,8695
1532,"42600",133,,,,8696
1533,"31002",,,0,,8697
1533,"31005",,,114,,8698
1533,"32007",,,88,,8699
1533,"32009",,,107,,8700
1533,"33012",,,147,,8701
1534,"41100",,,11,,8703
1534,"41200",,,31,,8704
1534,"41300",,,241,,8705
1534,"41400",,,231,,8706
1534,"42500",,,33,,8707
1534,"42600",,,170,,8708
1535,"31002",,,0,,8709
1535,"31005",,,67,,8710
1535,"32007",,,47,,8711
1535,"32009",,,139,,8712
1535,"33012",,,97,,8713
1535,"33013",,,0,,8714
1536,"21100",0,,,,8715
1536,"21200",210,,,,8716
1536,"22307",150,,,,8717
1536,"22309",247,,,,8718
1537,"21100",,,0,,8719
1537,"21200",,,72,,8720
1537,"22307",,,85,,8721
1537,"22309",,,117,,8722
1538,"21100",,,0,,8724
1538,"21200",,,119,,8725
1538,"22307",,,184,,8726
1538,"22309",,,195,,8727
1539,"31002",0,,,,8728
1539,"31005",296,,,,8729
1539,"32007",101,,,,8730
1539,"32009",122,,,,8731
1539,"33012",391,,,,8732
1539,"33013",0,,,,8733
1540,"41100",,,18,,8734
1540,"41200",,,34,,8735
1540,"41300",,,241,,8736
1540,"41400",,,258,,8737
1540,"42500",,,47,,8738
1540,"42600",,,194,,8739
1541,"21100",0,,,,8740
1541,"21200",446,,,,8741
1541,"22307",365,,,,8742
1541,"22309",476,,,,8743
1542,"31002",,,3,,8744
1542,"31005",,,193,,8745
1542,"32007",,,109,,8746
1542,"32009",,,93,,8747
1542,"33012",,,206,,8748
1542,"33013",,,0,,8749
1543,"41100",,,22,,8750
1543,"41200",,,20,,8751
1543,"41300",,,83,,8752
1543,"41400",,,84,,8753
1543,"42500",,,21,,8754
1543,"42600",,,95,,8755
1544,"41100",,,4,,8756
1544,"41200",,,6,,8757
1544,"41300",,,55,,8758
1544,"41400",,,33,,8759
1532,"41100",11,,,,8691
1544,"42500",,,10,,8760
1544,"42600",,,34,,8761
1545,"21200",,,25,,8762
1545,"22307",,,24,,8763
1545,"22309",,,26,,8764
