EventID,LocationID,Length
1224,"33012",124
1224,"33012",105
1224,"33012",122
1224,"33012",133
1224,"33012",118
1224,"33012",134
1224,"33012",124
1224,"33012",124
1224,"33012",122
1224,"33012",121
1224,"33012",120
1224,"33012",120
1224,"33012",114
1224,"33012",114
1224,"33012",109
1224,"33012",102
1224,"33012",123
1224,"33012",107
1224,"33012",86
1224,"33012",85
1224,"33012",97
1224,"33012",100
1224,"33012",101
1224,"33012",104
1224,"33012",106
1224,"33012",108
1224,"33012",109
1224,"33012",109
1224,"33012",105
1225,"32009",103
1225,"32009",98
1225,"32009",99
1225,"32009",102
1225,"32009",102
1225,"32009",104
1225,"32009",103
1225,"32009",100
1225,"32009",104
1225,"32009",97
1225,"32009",122
1225,"32009",103
1225,"32009",104
1225,"32009",109
1225,"32009",106
1225,"32009",110
1225,"32009",107
1225,"32009",113
1225,"32009",115
1225,"32009",108
1225,"32009",106
1225,"32009",116
1225,"32009",116
1225,"32009",117
1225,"32009",119
1225,"32009",114
1225,"32009",94
1225,"32009",93
1225,"32009",89
1225,"32009",86
1225,"32009",94
1225,"32009",113
1225,"33012",101
1225,"33012",93
1225,"33012",98
1225,"33012",101
1225,"33012",102
1225,"33012",107
1225,"33012",111
1225,"33012",132
1225,"33012",115
1225,"33012",128
1225,"33012",121
1225,"33012",121
1225,"33012",117
1225,"33012",116
1225,"33012",115
1226,"31005",107
1226,"31005",98
1226,"31005",108
1226,"31005",100
1226,"31005",105
1226,"31005",104
1226,"31005",100
1226,"31005",107
1226,"31005",100
1226,"31005",93
1226,"31005",99
1226,"31005",96
1226,"31005",83
1226,"31005",87
1226,"31005",111
1226,"31005",108
1226,"31005",93
1226,"31005",99
1226,"31005",128
1226,"31005",106
1226,"31005",112
1226,"31005",125
1226,"31005",95
1226,"31005",128
1226,"31005",123
1226,"31005",122
1226,"31005",122
1226,"31005",122
1226,"31005",115
1226,"31005",120
1226,"31005",119
1226,"31005",119
1226,"31005",117
1226,"31005",114
1226,"31005",115
1226,"31005",124
1226,"31005",112
1226,"31005",120
1226,"32007",117
1226,"32007",116
1226,"32007",115
1226,"32007",126
1226,"32007",115
1226,"32007",115
1226,"32007",118
1226,"32007",119
1226,"32007",120
1226,"32007",132
1226,"32007",114
1226,"32007",102
1324,"31005",102
1324,"31005",105
1324,"31005",116
1324,"31005",120
1324,"31005",128
1324,"31005",119
1324,"31005",112
1324,"31005",122
1324,"33012",122
1324,"33012",130
1324,"33012",114
1324,"33012",112
1324,"33012",119
1324,"33012",119
1324,"33012",122
1324,"33012",122
1324,"33012",108
1324,"33012",154
1324,"33012",145
1324,"33012",131
1324,"33012",139
1324,"33012",138
1324,"33012",135
1324,"33012",134
1324,"33012",133
1324,"33012",132
1324,"33012",124
1324,"33012",134
