EventID,LocationID,CreelNPeople,CreelNDiggers,CreelNClams,CreelNLanterns,CreelNCars,autonumber
1513,"41300",1,1,5,,,34107
1513,"41400",1,1,15,,,34108
1513,"41400",1,1,15,,,34109
1513,"41400",2,2,30,,,34110
1513,"41400",2,1,15,,,34111
1513,"41400",2,2,30,,,34112
1513,"41400",6,6,28,,,34113
1513,"41400",1,1,8,,,34114
1513,"41400",3,3,45,,,34115
1513,"41400",2,2,30,,,34116
1513,"41400",3,3,45,,,34117
1513,"42500",3,3,15,,,34118
1513,"42500",2,1,15,,,34119
1513,"42500",4,4,60,,,34120
1513,"42500",1,1,14,,,34121
1513,"42600",2,2,30,,,34122
1513,"42600",2,2,30,,,34123
1513,"42600",4,4,60,,,34124
1513,"42600",4,2,29,,,34125
1513,"42600",3,3,43,,,34126
1513,"42600",4,4,45,,,34127
1513,"42600",4,4,46,,,34128
1513,"42600",4,4,60,,,34129
1514,"21200",4,4,60,,,34130
1514,"21200",1,1,15,,,34131
1514,"21200",8,8,120,,,34132
1514,"21200",2,2,30,,,34133
1514,"21200",4,2,28,,,34134
1514,"21200",3,3,5,,,34135
1514,"21200",4,4,60,,,34136
1514,"21200",3,3,32,,,34137
1514,"21200",2,2,30,,,34138
1514,"22307",1,1,15,,,34139
1514,"22307",2,2,0,,,34140
1514,"22307",5,4,39,,,34141
1514,"22307",3,3,5,,,34142
1514,"22307",2,2,22,,,34143
1514,"22307",9,9,70,,,34144
1514,"22307",3,3,8,,,34145
1514,"22307",3,3,42,,,34146
1514,"22307",6,6,45,,,34147
1514,"22307",7,7,105,,,34148
1514,"22307",2,2,30,,,34149
1514,"22309",10,10,40,,,34150
1514,"22309",3,2,0,,,34151
1514,"22309",5,5,48,,,34152
1514,"22309",4,4,32,,,34153
1514,"22309",4,3,24,,,34154
1514,"22309",5,5,13,,,34155
1514,"22309",2,2,30,,,34156
1514,"22309",4,4,11,,,34157
1514,"22309",6,6,13,,,34158
1515,"21200",2,2,30,,,34159
1515,"21200",1,1,15,,,34160
1515,"21200",6,5,75,,,34161
1515,"21200",2,2,16,,,34162
1515,"21200",4,4,60,,,34163
1515,"21200",2,2,17,,,34164
1515,"21200",5,1,15,,,34165
1515,"21200",2,1,15,,,34166
1515,"21200",2,2,30,,,34167
1525,"22307",2,2,10,,,34429
1525,"22307",1,1,10,,,34430
1525,"22307",4,3,37,,,34431
1525,"22307",3,3,0,,,34432
1525,"22307",6,6,0,,,34433
1525,"22307",2,2,11,,,34434
1525,"22307",2,2,1,,,34435
1525,"22309",2,2,0,,,34436
1525,"22309",1,1,0,,,34437
1525,"22309",2,2,0,,,34439
1525,"22309",,,,,,34440
1525,"22309",3,3,0,,,34441
1526,"21200",2,2,30,2,2,34442
1526,"21200",2,2,30,,2,34443
1526,"21200",3,3,45,,3,34444
1526,"21200",2,2,30,,2,34445
1526,"21200",2,2,30,,2,34446
1526,"21200",2,2,30,,2,34447
1526,"22307",1,1,15,,1,34448
1526,"22307",3,3,45,,3,34449
1526,"22307",5,5,8,,5,34450
1526,"22307",2,2,12,,2,34451
1526,"22307",4,4,60,,4,34452
1526,"22307",4,2,30,,4,34453
1526,"22309",4,4,39,,4,34454
1526,"22309",2,2,30,,2,34455
1526,"22309",3,3,3,,3,34456
1526,"22309",2,2,1,,3,34457
1526,"22309",2,2,30,,0,34458
1527,"41200",4,4,60,,0,34459
1527,"41200",2,2,30,,2,34460
1527,"41200",2,2,30,,2,34461
1527,"41200",3,3,43,,3,34462
1527,"41200",2,2,30,,2,34463
1527,"41200",5,5,75,,5,34464
1527,"41300",2,2,30,,2,34465
1527,"41300",2,2,41,,2,34466
1527,"41300",1,1,15,,1,34467
1527,"41300",2,2,30,,2,34468
1527,"41300",2,2,30,,2,34469
1527,"41300",4,4,60,,4,34470
1527,"41300",2,2,30,,2,34471
1527,"41300",2,2,30,,2,34472
1527,"41300",2,2,30,,2,34473
1527,"41300",2,2,30,,2,34474
1527,"41400",3,3,45,,3,34475
1527,"41400",2,2,30,,2,34476
1527,"41400",2,2,30,,2,34477
1527,"41400",4,4,60,,4,34478
1527,"41400",2,2,30,,2,34479
1527,"41400",3,3,45,,3,34480
1527,"41400",2,2,30,,2,34481
1527,"41400",2,2,30,,2,34482
1527,"42500",1,1,15,,1,34483
1527,"42500",1,1,15,,1,34484
1527,"42600",5,3,45,,5,34485
1527,"42600",2,2,30,,0,34486
1527,"42600",4,4,60,,4,34487
1527,"42600",4,4,60,,4,34488
1527,"42600",2,2,30,,2,34489
1525,"22309",2,2,0,,,34438
1528,"21200",3,1,15,,3,34490
1528,"21200",2,2,30,,2,34491
1528,"21200",3,3,45,,3,34492
1528,"21200",1,1,15,,0,34493
1528,"21200",3,3,45,,3,34494
1528,"21200",3,3,45,,3,34495
1528,"21200",3,3,45,,3,34496
1528,"21200",3,2,30,,2,34497
1528,"21200",4,4,60,,4,34498
1528,"21200",2,2,25,,2,34499
1528,"21200",3,3,45,,3,34500
1528,"22307",4,4,2,,4,34501
1528,"22307",3,1,7,,3,34502
1528,"22307",4,2,8,,4,34503
1528,"22307",3,3,45,,3,34504
1528,"22307",4,4,60,,4,34505
1528,"22307",1,1,15,,0,34506
1528,"22309",2,2,30,,2,34507
1528,"22309",2,2,6,,2,34508
1528,"22309",2,2,0,,2,34509
1528,"22309",4,1,0,,4,34510
1528,"22309",4,2,27,,4,34511
1528,"22309",2,2,0,,2,34512
1529,"31005",4,4,0,,4,34513
1529,"31005",4,4,20,,4,34514
1529,"31005",3,3,45,,3,34515
1529,"31005",5,3,6,,5,34516
1529,"32007",2,2,2,,2,34517
1529,"32007",2,2,30,,2,34518
1529,"32007",1,1,23,,0,34519
1529,"32007",4,4,60,,0,34520
1529,"32007",4,4,60,,0,34521
1529,"32007",3,3,25,,3,34522
1529,"32007",2,2,30,,2,34523
1529,"32009",1,1,0,,1,34524
1529,"32009",2,2,32,,2,34525
1529,"32009",3,3,15,,3,34526
1529,"32009",2,2,30,,2,34527
1529,"32009",2,2,30,,2,34528
