F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
"Long Beach","2025-10-24","Friday",,"20:53:00","19:32:00","20:08:00","-0.1","18:11:00","N to S","BlumenthalB",,,"Mod+","Showers","Overcast","15-25 MPH","None","S",
"Long Beach","2025-10-24","Friday",,"20:53:00","19:32:00","20:08:00","-0.1","18:11:00","N to S","BlumenthalB",,,"Mod+","Showers","Overcast","15-25 MPH","None","S",
