EventID,LocationID,NPeople,NLanterns,NCars,beach,Date,CorrectionFactor,CPUE,DiggersPeople,DiggersLanterns,AvgPplPerCar,CalcPeople,EstCorEffort,TotHarvest
1509,41100,182,NA,NA,Mocrocks,2018-04-19,0.71073335,14.104166666666666,1,NA,NA,182,256.07353306271614,3611.703789238725
1509,41200,208,NA,NA,Mocrocks,2018-04-19,0.71073335,14.104166666666666,1,NA,NA,208,292.65546635738986,4127.661473415686
1509,41300,999,NA,NA,Mocrocks,2018-04-19,0.71073335,14.104166666666666,1,NA,NA,999,1405.5904369761176,19824.681788183992
1509,41400,802,NA,NA,Mocrocks,2018-04-19,0.71073335,14.104166666666666,1,NA,NA,802,1128.4119423972436,15915.310104227789
1509,42500,388,NA,NA,Mocrocks,2018-04-19,0.71073335,14.104166666666666,1,NA,NA,388,545.9150045512849,7699.676210025415
1509,42600,1008,NA,NA,Mocrocks,2018-04-19,0.71073335,14.104166666666666,1,NA,NA,1008,1418.2534138858123,20003.282525014478
1510,31002,25,NA,NA,Copalis,2018-04-21,0.53127998,10.083333333333334,0.9302325581395349,NA,NA,25,43.77317954553524,441.3795604174804
1510,31005,1724,NA,NA,Copalis,2018-04-21,0.53127998,10.083333333333334,0.9302325581395349,NA,NA,1724,3018.5984614601102,30437.534486389446
1510,32007,978,NA,NA,Copalis,2018-04-21,0.53127998,10.083333333333334,0.9302325581395349,NA,NA,978,1712.4067838213386,17266.76840353183
1510,32009,848,NA,NA,Copalis,2018-04-21,0.53127998,10.083333333333334,0.9302325581395349,NA,NA,848,1484.7862501845555,14971.594689360934
1510,33012,1760,NA,NA,Copalis,2018-04-21,0.53127998,10.083333333333334,0.9302325581395349,NA,NA,1760,3081.631840005681,31073.12105339062
1510,33013,44,NA,NA,Copalis,2018-04-21,0.53127998,10.083333333333334,0.9302325581395349,NA,NA,44,77.04079600014202,776.8280263347655
1511,41100,289,NA,NA,Mocrocks,2018-04-21,0.68813747,14.677966101694915,0.9672131147540983,NA,NA,289,406.2045773556473,5962.257016779501
1511,41200,515,NA,NA,Mocrocks,2018-04-21,0.68813747,14.677966101694915,0.9672131147540983,NA,NA,515,723.859367952105,10624.783265195303
1511,41300,792,NA,NA,Mocrocks,2018-04-21,0.68813747,14.677966101694915,0.9672131147540983,NA,NA,792,1113.1973192583828,16339.472516572194
1511,41400,900,NA,NA,Mocrocks,2018-04-21,0.68813747,14.677966101694915,0.9672131147540983,NA,NA,900,1264.9969537027077,18567.582405195677
1511,42500,328,NA,NA,Mocrocks,2018-04-21,0.68813747,14.677966101694915,0.9672131147540983,NA,NA,328,461.02111201609796,6766.85225433798
1511,42600,1245,NA,NA,Mocrocks,2018-04-21,0.68813747,14.677966101694915,0.9672131147540983,NA,NA,1245,1749.912452622079,25685.155660520682
1512,41100,275,NA,NA,Mocrocks,2018-04-20,0.70652503,14.330708661417322,1,NA,NA,275,389.22895626217235,5577.926774780737
1512,41200,455,NA,NA,Mocrocks,2018-04-20,0.70652503,14.330708661417322,1,NA,NA,455,643.9970003610488,9228.933391000855
1512,41300,1203,NA,NA,Mocrocks,2018-04-20,0.70652503,14.330708661417322,1,NA,NA,1203,1702.6997613941576,24400.89421840446
1512,41400,1199,NA,NA,Mocrocks,2018-04-20,0.70652503,14.330708661417322,1,NA,NA,1199,1697.0382493030713,24319.760738044013
1512,42500,354,NA,NA,Mocrocks,2018-04-20,0.70652503,14.330708661417322,1,NA,NA,354,501.04382006112365,7180.313011899567
1512,42600,1374,NA,NA,Mocrocks,2018-04-20,0.70652503,14.330708661417322,1,NA,NA,1374,1944.7294032880902,27869.350503813574
1513,41100,419,NA,NA,Mocrocks,2018-04-22,0.70038748,12.303030303030303,0.9166666666666666,NA,NA,419,548.3869205276676,6746.820901037365
1513,41200,551,NA,NA,Mocrocks,2018-04-22,0.70038748,12.303030303030303,0.9166666666666666,NA,NA,551,721.1484324838779,8872.311017831951
1513,41300,1228,NA,NA,Mocrocks,2018-04-22,0.70038748,12.303030303030303,0.9166666666666666,NA,NA,1228,1607.2055809259564,19773.498965331462
1513,41400,1226,NA,NA,Mocrocks,2018-04-22,0.70038748,12.303030303030303,0.9166666666666666,NA,NA,1226,1604.5879822599532,19741.294569622452
1513,42500,429,NA,NA,Mocrocks,2018-04-22,0.70038748,12.303030303030303,0.9166666666666666,NA,NA,429,561.4749138576835,6907.842879582409
1513,42600,1132,NA,NA,Mocrocks,2018-04-22,0.70038748,12.303030303030303,0.9166666666666666,NA,NA,1132,1481.5608449578033,18227.687971299034
