EventID,LocationID,NPeople,NLanterns,NCars,Comments,autonumber
1509.0,41100,182.0,,,,8578
1509.0,41200,208.0,,,,8579
1509.0,41300,999.0,,,,8580
1509.0,41400,802.0,,,,8581
1509.0,42500,388.0,,,,8582
1509.0,42600,1008.0,,,,8583
1510.0,31002,25.0,,,,8584
1510.0,31005,1724.0,,,,8585
1510.0,32007,978.0,,,,8586
1510.0,32009,848.0,,,,8587
1510.0,33012,1760.0,,,,8588
1510.0,33013,44.0,,,,8589
1511.0,41100,289.0,,,,8590
1511.0,41200,515.0,,,,8591
1511.0,41300,792.0,,,,8592
1511.0,41400,900.0,,,,8593
1511.0,42500,328.0,,,,8594
1511.0,42600,1245.0,,,,8595
1512.0,41100,275.0,,,,8596
1512.0,41200,455.0,,,,8597
1512.0,41300,1203.0,,,,8598
1512.0,41400,1199.0,,,,8599
1512.0,42500,354.0,,,,8600
1512.0,42600,1374.0,,,,8601
1513.0,41100,419.0,,,,8602
1513.0,41200,551.0,,,,8603
1513.0,41300,1228.0,,,,8604
1513.0,41400,1226.0,,,,8605
1513.0,42500,429.0,,,,8606
1513.0,42600,1132.0,,,,8607
1514.0,21200,2237.0,,,,8608
1514.0,22307,1450.0,,,,8609
1514.0,22309,1832.0,,,,8610
1515.0,21200,1273.0,,,,8611
1515.0,22307,1268.0,,,,8612
1515.0,22309,1458.0,,,,8613
1516.0,11101,158.0,,,,8614
1516.0,11104,441.0,,,,8615
1516.0,11200,549.0,,,,8616
1516.0,12300,273.0,,,,8617
1516.0,12400,1969.0,,,,8618
1516.0,12500,1311.0,,,,8619
1516.0,12600,3297.0,,,,8620
1517.0,11101,190.0,,,,8621
1517.0,11104,503.0,,,,8622
1517.0,11200,620.0,,,,8623
1517.0,12300,301.0,,,,8625
1517.0,12400,1055.0,,,,8626
1517.0,12500,1264.0,,,,8627
1517.0,12600,4470.0,,,,8628
1518.0,21200,,,110.0,,8629
1518.0,22307,,,85.0,,8630
1518.0,22309,,,146.0,,8631
1519.0,41100,,,10.0,,8632
1519.0,41200,,,25.0,,8633
1519.0,41300,,,107.0,,8634
1519.0,41400,,,99.0,,8635
1519.0,42500,,,19.0,,8636
1519.0,42600,,,101.0,,8637
1520.0,21200,,,58.0,,8638
1520.0,22307,,,107.0,,8639
1520.0,22309,,,113.0,,8640
1521.0,31002,,,1.0,,8641
1521.0,31005,,,153.0,,8642
1521.0,32007,,,67.0,,8643
1521.0,32009,,,93.0,,8644
1521.0,33012,,,192.0,,8645
1521.0,33012,3.0,,,,8646
1532.0,41200,27.0,,,,8692
1532.0,41300,119.0,,,,8693
1532.0,41400,118.0,,,,8694
1532.0,42500,40.0,,,,8695
1532.0,42600,133.0,,,,8696
1533.0,31002,,,0.0,,8697
1533.0,31005,,,114.0,,8698
1533.0,32007,,,88.0,,8699
1533.0,32009,,,107.0,,8700
1533.0,33012,,,147.0,,8701
1534.0,41100,,,11.0,,8703
1534.0,41200,,,31.0,,8704
1534.0,41300,,,241.0,,8705
1534.0,41400,,,231.0,,8706
1534.0,42500,,,33.0,,8707
1534.0,42600,,,170.0,,8708
1535.0,31002,,,0.0,,8709
1535.0,31005,,,67.0,,8710
1535.0,32007,,,47.0,,8711
1535.0,32009,,,139.0,,8712
1535.0,33012,,,97.0,,8713
1535.0,33013,,,0.0,,8714
1536.0,21100,0.0,,,,8715
1536.0,21200,210.0,,,,8716
1536.0,22307,150.0,,,,8717
1536.0,22309,247.0,,,,8718
1537.0,21100,,,0.0,,8719
1537.0,21200,,,72.0,,8720
1537.0,22307,,,85.0,,8721
1537.0,22309,,,117.0,,8722
1538.0,21100,,,0.0,,8724
1538.0,21200,,,119.0,,8725
1538.0,22307,,,184.0,,8726
1538.0,22309,,,195.0,,8727
1539.0,31002,0.0,,,,8728
1539.0,31005,296.0,,,,8729
1539.0,32007,101.0,,,,8730
1539.0,32009,122.0,,,,8731
1539.0,33012,391.0,,,,8732
1539.0,33013,0.0,,,,8733
1540.0,41100,,,18.0,,8734
1540.0,41200,,,34.0,,8735
1540.0,41300,,,241.0,,8736
1540.0,41400,,,258.0,,8737
1540.0,42500,,,47.0,,8738
1540.0,42600,,,194.0,,8739
1541.0,21100,0.0,,,,8740
1541.0,21200,446.0,,,,8741
1541.0,22307,365.0,,,,8742
1541.0,22309,476.0,,,,8743
1542.0,31002,,,3.0,,8744
1542.0,31005,,,193.0,,8745
1542.0,32007,,,109.0,,8746
1542.0,32009,,,93.0,,8747
1542.0,33012,,,206.0,,8748
1542.0,33013,,,0.0,,8749
1543.0,41100,,,22.0,,8750
1543.0,41200,,,20.0,,8751
1543.0,41300,,,83.0,,8752
1543.0,41400,,,84.0,,8753
1543.0,42500,,,21.0,,8754
1543.0,42600,,,95.0,,8755
1544.0,41100,,,4.0,,8756
1544.0,41200,,,6.0,,8757
1544.0,41300,,,55.0,,8758
1544.0,41400,,,33.0,,8759
1532.0,41100,11.0,,,,8691
1544.0,42500,,,10.0,,8760
1544.0,42600,,,34.0,,8761
1545.0,21200,,,25.0,,8762
1545.0,22307,,,24.0,,8763
1545.0,22309,,,26.0,,8764
1545.0,21100,,,0.0,,8765
1546.0,31002,1.0,,,,8767
1546.0,31005,185.0,,,,8768
1546.0,32007,109.0,,,,8769
1546.0,32009,143.0,,,,8770
1546.0,33012,240.0,,,,8771
1546.0,33013,2.0,,,,8772
1547.0,21200,337.0,,,,8773
1547.0,22307,283.0,,,,8774
1547.0,22309,208.0,,,,8775
1548.0,21200,171.0,,,,8776
1548.0,22307,149.0,,,,8777
1548.0,22309,81.0,,,,8778
1549.0,41100,,,10.0,,8779
1549.0,41200,,,6.0,,8780
1549.0,41300,,,123.0,,8781
1549.0,41400,211.0,,,,8782
1549.0,42500,34.0,,,,8783
1549.0,42600,145.0,,,,8784
1550.0,21200,,,102.0,,8785
1550.0,22307,,,69.0,,8786
1550.0,22309,,,79.0,,8787
1551.0,31005,,,137.0,,8788
1551.0,32007,,,62.0,,8789
1551.0,32009,,,41.0,,8790
1551.0,33012,,,147.0,,8791
1551.0,33013,,,0.0,,8792
1552.0,41100,,,1.0,,8793
1552.0,41200,,,2.0,,8794
1552.0,41300,,,17.0,,8795
1552.0,41400,,,17.0,,8796
1552.0,42500,,,5.0,,8797
1552.0,42600,,,16.0,,8798
1553.0,21200,,,12.0,,8799
1553.0,22307,,,9.0,,8800
1553.0,22309,,,5.0,,8801
1554.0,41100,0.0,,,,8802
1554.0,41200,9.0,,,,8803
1554.0,41300,79.0,,,,8804
1554.0,41400,48.0,,,,8805
1554.0,42500,30.0,,,,8806
1554.0,42600,44.0,,,,8807
1555.0,31002,3.0,,,,8808
1555.0,31005,334.0,,,,8809
1555.0,32007,111.0,,,,8810
1555.0,32009,194.0,,,,8811
1555.0,33012,313.0,,,,8812
1555.0,33013,0.0,,,,8813
1556.0,41100,31.0,,,,8814
1556.0,41200,60.0,,,,8815
1556.0,41300,197.0,,,,8816
1556.0,41400,211.0,,,,8817
1556.0,42500,37.0,,,,8818
1556.0,42600,,,89.0,,8819
1557.0,31002,,,0.0,,8820
1557.0,31005,,,80.0,,8821
1557.0,32007,,,42.0,,8822
1557.0,32009,,,62.0,,8823
1557.0,33012,,,63.0,,8824
1557.0,33013,11.0,,,,8825
1558.0,21200,48.0,,,,8826
521.0,11200,885.0,,,,3145
521.0,12300,254.0,,,,3146
521.0,12400,591.0,,,,3147
521.0,12500,300.0,,,,3148
521.0,12600,61.0,,,,3149
522.0,11104,976.0,,,,3150
522.0,11200,1828.0,,,,3151
522.0,12300,384.0,,,,3152
522.0,12400,1190.0,,,,3153
522.0,12500,707.0,,,,3154
522.0,12600,172.0,,,,3155
523.0,11104,927.0,,242.0,,3156
523.0,11200,1319.0,,409.0,,3157
523.0,12300,414.0,,109.0,,3158
523.0,12400,1167.0,,310.0,,3159
523.0,12500,593.0,,193.0,,3160
523.0,12600,242.0,,78.0,,3161
524.0,11104,149.0,,,,3162
524.0,11200,242.0,,,,3163
524.0,12300,60.0,,,,3164
524.0,12400,154.0,,,,3165
524.0,12500,80.0,,,,3166
524.0,12600,16.0,,,,3167
525.0,31002,0.0,,,,3168
525.0,31005,376.0,,,,3169
525.0,32007,419.0,,,,3170
525.0,32009,371.0,,,,3171
525.0,33012,598.0,,,,3172
525.0,33013,3.0,,,,3173
526.0,41100,44.0,,,,3174
526.0,41200,61.0,,,,3175
526.0,41300,236.0,,,,3176
526.0,41400,297.0,,,,3177
526.0,42500,235.0,,,,3178
526.0,42600,287.0,,,,3179
527.0,21100,23.0,,,,3180
527.0,21200,244.0,,,,3181
527.0,22307,303.0,,,,3182
527.0,22309,280.0,,,,3183
528.0,11101,131.0,,,,3184
528.0,11104,245.0,,,,3185
528.0,11200,388.0,,,,3186
528.0,12300,113.0,,,,3187
528.0,12400,629.0,,,,3188
528.0,12500,741.0,,,,3189
528.0,12600,443.0,,,,3190
529.0,11101,161.0,,,,3191
529.0,11104,300.0,,,,3192
529.0,11200,475.0,,,,3193
529.0,12300,139.0,,,,3194
529.0,12400,741.0,,,,3195
529.0,12500,869.0,,,,3196
529.0,12600,611.0,,,,3197
530.0,41100,86.0,,,,3198
530.0,41200,92.0,,,,3199
530.0,41300,304.0,,,,3200
530.0,41400,306.0,,,,3201
530.0,42500,177.0,,,,3202
530.0,42600,260.0,,,,3203
531.0,21100,0.0,,,,3204
531.0,21200,246.0,,,,3205
531.0,22307,312.0,,,,3206
531.0,22309,332.0,,,,3207
532.0,31002,12.0,,,,3208
532.0,31005,496.0,,,,3209
532.0,32007,328.0,,,,3210
532.0,32009,302.0,,,,3211
532.0,33012,551.0,,,,3212
421.0,41100,91.0,,,,2126
421.0,41200,131.0,,,,2127
421.0,41300,264.0,,,,2128
421.0,41400,339.0,,,,2129
421.0,42500,167.0,,,,2130
421.0,42600,242.0,,,,2131
422.0,11101,150.0,,,,2132
422.0,11104,265.0,,,,2133
422.0,11200,424.0,,,,2134
422.0,12300,191.0,,,,2135
422.0,12400,927.0,,,,2136
422.0,12500,1504.0,,,,2137
422.0,12600,2330.0,,,,2138
423.0,11101,150.0,,,,2139
423.0,11104,274.0,,,,2140
423.0,11200,483.0,,,,2141
423.0,12300,226.0,,,,2142
423.0,12400,687.0,,,,2143
423.0,12500,856.0,,,,2144
423.0,12600,1673.0,,,,2145
424.0,11101,,3.0,,,2146
424.0,11104,,15.0,,,2147
424.0,11200,,9.0,,,2148
424.0,12300,,5.0,,,2149
424.0,12400,,16.0,,,2150
424.0,12500,,61.0,,,2151
424.0,12600,,63.0,,,2152
