EventID,LocationID,CreelNPeople,CreelNDiggers,CreelNClams,CreelNLanterns,ppl_per_car
1513,41300,1,1,5,NA,NA
1513,41400,1,1,15,NA,NA
1513,41400,1,1,15,NA,NA
1513,41400,2,2,30,NA,NA
1513,41400,2,1,15,NA,NA
1513,41400,2,2,30,NA,NA
1513,41400,6,6,28,NA,NA
1513,41400,1,1,8,NA,NA
1513,41400,3,3,45,NA,NA
1513,41400,2,2,30,NA,NA
1513,41400,3,3,45,NA,NA
1513,42500,3,3,15,NA,NA
1513,42500,2,1,15,NA,NA
1513,42500,4,4,60,NA,NA
1513,42500,1,1,14,NA,NA
1513,42600,2,2,30,NA,NA
1513,42600,2,2,30,NA,NA
1513,42600,4,4,60,NA,NA
1513,42600,4,2,29,NA,NA
1513,42600,3,3,43,NA,NA
1513,42600,4,4,45,NA,NA
1513,42600,4,4,46,NA,NA
1513,42600,4,4,60,NA,NA
1514,21200,4,4,60,NA,NA
1514,21200,1,1,15,NA,NA
1514,21200,8,8,120,NA,NA
1514,21200,2,2,30,NA,NA
1514,21200,4,2,28,NA,NA
1514,21200,3,3,5,NA,NA
1514,21200,4,4,60,NA,NA
1514,21200,3,3,32,NA,NA
1514,21200,2,2,30,NA,NA
1514,22307,1,1,15,NA,NA
1514,22307,2,2,0,NA,NA
1514,22307,5,4,39,NA,NA
1514,22307,3,3,5,NA,NA
1514,22307,2,2,22,NA,NA
1514,22307,9,9,70,NA,NA
1514,22307,3,3,8,NA,NA
1514,22307,3,3,42,NA,NA
1514,22307,6,6,45,NA,NA
1514,22307,7,7,105,NA,NA
1514,22307,2,2,30,NA,NA
1514,22309,10,10,40,NA,NA
1514,22309,3,2,0,NA,NA
1514,22309,5,5,48,NA,NA
1514,22309,4,4,32,NA,NA
1514,22309,4,3,24,NA,NA
1514,22309,5,5,13,NA,NA
1514,22309,2,2,30,NA,NA
1514,22309,4,4,11,NA,NA
1514,22309,6,6,13,NA,NA
1515,21200,2,2,30,NA,NA
1515,21200,1,1,15,NA,NA
1515,21200,6,5,75,NA,NA
1515,21200,2,2,16,NA,NA
1515,21200,4,4,60,NA,NA
1515,21200,2,2,17,NA,NA
1515,21200,5,1,15,NA,NA
1515,21200,2,1,15,NA,NA
1515,21200,2,2,30,NA,NA
1525,22307,2,2,10,NA,NA
1525,22307,1,1,10,NA,NA
1525,22307,4,3,37,NA,NA
1525,22307,3,3,0,NA,NA
1525,22307,6,6,0,NA,NA
1525,22307,2,2,11,NA,NA
1525,22307,2,2,1,NA,NA
1525,22309,2,2,0,NA,NA
1525,22309,1,1,0,NA,NA
1525,22309,2,2,0,NA,NA
1525,22309,NA,NA,NA,NA,NA
1525,22309,3,3,0,NA,NA
1526,21200,2,2,30,2,2
1526,21200,2,2,30,NA,2
1526,21200,3,3,45,NA,3
1526,21200,2,2,30,NA,2
1526,21200,2,2,30,NA,2
1526,21200,2,2,30,NA,2
1526,22307,1,1,15,NA,1
1526,22307,3,3,45,NA,3
1526,22307,5,5,8,NA,5
1526,22307,2,2,12,NA,2
1526,22307,4,4,60,NA,4
1526,22307,4,2,30,NA,4
1526,22309,4,4,39,NA,4
1526,22309,2,2,30,NA,2
1526,22309,3,3,3,NA,3
1526,22309,2,2,1,NA,3
1526,22309,2,2,30,NA,0
1527,41200,4,4,60,NA,0
1527,41200,2,2,30,NA,2
1527,41200,2,2,30,NA,2
1527,41200,3,3,43,NA,3
1527,41200,2,2,30,NA,2
1527,41200,5,5,75,NA,5
1527,41300,2,2,30,NA,2
1527,41300,2,2,41,NA,2
1527,41300,1,1,15,NA,1
