EventID,LocationID,NPeople,NLanterns,NCars
1555,31005,334,NA,NA
1555,32007,111,NA,NA
1555,32009,194,NA,NA
1555,33012,313,NA,NA
1555,33013,0,NA,NA
1556,41100,31,NA,NA
1556,41200,60,NA,NA
1556,41300,197,NA,NA
1556,41400,211,NA,NA
1556,42500,37,NA,NA
1556,42600,NA,NA,89
1557,31002,NA,NA,0
1557,31005,NA,NA,80
1557,32007,NA,NA,42
1557,32009,NA,NA,62
1557,33012,NA,NA,63
1557,33013,11,NA,NA
1558,21200,48,NA,NA
521,11200,885,NA,NA
521,12300,254,NA,NA
521,12400,591,NA,NA
521,12500,300,NA,NA
521,12600,61,NA,NA
522,11104,976,NA,NA
522,11200,1828,NA,NA
522,12300,384,NA,NA
522,12400,1190,NA,NA
522,12500,707,NA,NA
522,12600,172,NA,NA
523,11104,927,NA,242
523,11200,1319,NA,409
523,12300,414,NA,109
523,12400,1167,NA,310
523,12500,593,NA,193
523,12600,242,NA,78
524,11104,149,NA,NA
524,11200,242,NA,NA
524,12300,60,NA,NA
524,12400,154,NA,NA
524,12500,80,NA,NA
524,12600,16,NA,NA
525,31002,0,NA,NA
525,31005,376,NA,NA
525,32007,419,NA,NA
525,32009,371,NA,NA
525,33012,598,NA,NA
525,33013,3,NA,NA
526,41100,44,NA,NA
526,41200,61,NA,NA
526,41300,236,NA,NA
526,41400,297,NA,NA
526,42500,235,NA,NA
526,42600,287,NA,NA
527,21100,23,NA,NA
527,21200,244,NA,NA
527,22307,303,NA,NA
527,22309,280,NA,NA
528,11101,131,NA,NA
528,11104,245,NA,NA
528,11200,388,NA,NA
528,12300,113,NA,NA
528,12400,629,NA,NA
528,12500,741,NA,NA
528,12600,443,NA,NA
529,11101,161,NA,NA
529,11104,300,NA,NA
529,11200,475,NA,NA
529,12300,139,NA,NA
529,12400,741,NA,NA
529,12500,869,NA,NA
529,12600,611,NA,NA
530,41100,86,NA,NA
530,41200,92,NA,NA
530,41300,304,NA,NA
530,41400,306,NA,NA
530,42500,177,NA,NA
530,42600,260,NA,NA
531,21100,0,NA,NA
531,21200,246,NA,NA
531,22307,312,NA,NA
531,22309,332,NA,NA
532,31002,12,NA,NA
532,31005,496,NA,NA
532,32007,328,NA,NA
532,32009,302,NA,NA
532,33012,551,NA,NA
421,41100,91,NA,NA
421,41200,131,NA,NA
421,41300,264,NA,NA
421,41400,339,NA,NA
421,42500,167,NA,NA
421,42600,242,NA,NA
422,11101,150,NA,NA
422,11104,265,NA,NA
422,11200,424,NA,NA
422,12300,191,NA,NA
422,12400,927,NA,NA
422,12500,1504,NA,NA
422,12600,2330,NA,NA
423,11101,150,NA,NA
423,11104,274,NA,NA
423,11200,483,NA,NA
423,12300,226,NA,NA
423,12400,687,NA,NA
423,12500,856,NA,NA
423,12600,1673,NA,NA
424,11101,NA,3,NA
424,11104,NA,15,NA
424,11200,NA,9,NA
424,12300,NA,5,NA
424,12400,NA,16,NA
424,12500,NA,61,NA
424,12600,NA,63,NA
425,11101,238,NA,NA
425,11104,352,NA,NA
425,11200,621,NA,NA
425,12300,291,NA,NA
425,12400,937,NA,NA
425,12500,1295,NA,NA
425,12600,1908,NA,NA
439,11104,420,NA,NA
439,11200,666,NA,NA
439,12300,195,NA,NA
439,12400,1073,NA,NA
439,12500,1103,NA,NA
439,12600,940,NA,NA
441,41100,258,NA,NA
441,41200,266,NA,NA
441,41300,1147,NA,NA
441,41400,1230,NA,NA
441,42500,516,NA,NA
441,42600,639,NA,NA
442,21100,44,NA,NA
442,21200,682,NA,NA
442,22307,918,NA,NA
442,22309,885,NA,NA
443,11101,278,NA,NA
443,11104,519,NA,NA
443,11200,823,NA,NA
443,12300,241,NA,NA
443,12400,1227,NA,NA
443,12500,1433,NA,NA
443,12600,1188,NA,NA
39,21100,0,NA,NA
39,21200,125,NA,NA
39,22307,94,NA,NA
39,22309,173,NA,NA
40,21100,13,NA,NA
40,21200,371,NA,NA
40,22307,342,NA,NA
40,22309,406,NA,NA
41,21100,28,NA,NA
41,21200,700,NA,NA
41,22307,446,NA,NA
41,22309,977,NA,NA
42,21100,31,NA,NA
42,21200,489,NA,NA
42,22307,292,NA,NA
42,22309,558,NA,NA
43,21100,25,NA,NA
43,21200,261,NA,NA
43,22307,302,NA,NA
43,22309,433,NA,NA
44,21100,2,NA,NA
44,21200,39,NA,NA
44,22307,24,NA,NA
44,22309,118,NA,NA
45,21100,11,NA,NA
45,21200,35,NA,NA
45,22307,59,NA,NA
45,22309,84,NA,NA
444,21100,NA,0,NA
444,21200,NA,20,NA
444,22307,NA,8,NA
444,22309,NA,28,NA
445,21100,NA,0,NA
445,21200,NA,44,NA
445,22307,NA,47,NA
445,22309,NA,58,NA
446,21100,12,NA,NA
446,21200,488,NA,NA
446,22307,324,NA,NA
446,22309,510,NA,NA
447,21100,124,NA,NA
447,21200,1150,NA,NA
447,22307,1199,NA,NA
447,22309,1481,NA,NA
448,21100,35,NA,NA
470,32007,NA,109,NA
470,32009,NA,66,NA
470,33012,NA,149,NA
470,33013,NA,2,NA
471,31002,0,NA,NA
471,31005,174,NA,NA
471,32007,140,NA,NA
471,32009,95,NA,NA
471,33012,147,NA,NA
471,33013,3,NA,NA
472,31002,0,NA,NA
472,31005,520,NA,NA
472,32007,648,NA,NA
472,32009,264,NA,NA
472,33012,411,NA,NA
472,33013,2,NA,NA
473,31002,0,NA,NA
473,31005,215,NA,NA
473,32007,132,NA,NA
473,32009,254,NA,NA
473,33012,150,NA,49
473,33013,0,NA,NA
474,31002,0,NA,NA
474,31005,530,NA,NA
474,32007,303,NA,NA
474,32009,279,NA,NA
474,33012,461,NA,NA
474,33013,14,NA,NA
475,31002,1,NA,NA
475,31005,426,NA,NA
475,32007,1053,NA,NA
475,32009,764,NA,NA
475,33012,1423,NA,NA
475,33013,29,NA,NA
476,31002,25,NA,NA
476,31005,1137,NA,NA
476,32007,803,NA,NA
476,32009,625,NA,NA
476,33012,1058,NA,NA
476,33013,5,NA,NA
477,21100,NA,2,NA
477,21200,NA,127,NA
477,22307,NA,63,NA
477,22309,NA,85,NA
478,21100,19,NA,0
478,21200,288,NA,102
478,22307,124,NA,54
478,22309,237,NA,103
479,21100,NA,0,NA
479,21200,NA,167,NA
479,22307,NA,128,NA
479,22309,NA,186,NA
480,21100,NA,0,0
480,21200,NA,45,25
480,22307,NA,86,46
480,22309,NA,76,47
481,21100,2,NA,NA
481,21200,44,NA,NA
481,22307,61,NA,NA
481,22309,110,NA,NA
482,21100,7,NA,NA
482,21200,157,NA,NA
482,22307,223,NA,NA
482,22309,179,NA,NA
483,21100,12,NA,NA
483,21200,261,NA,NA
483,22307,416,NA,NA
483,22309,467,NA,NA
509,12500,1,1,15
509,12500,3,3,45
509,12400,2,2,30
509,12400,2,2,30
509,12400,2,2,30
509,12400,2,2,30
509,12400,3,3,45
509,12400,3,3,45
509,12400,7,7,105
509,12400,4,4,60
509,12300,2,2,30
509,12300,3,3,45
509,12300,2,2,30
509,12300,4,4,60
509,12300,3,3,45
509,12300,3,3,45
509,12300,2,2,30
509,12300,2,2,30
509,12300,2,2,30
509,12300,3,3,45
509,11200,2,2,30
509,11200,4,4,60
509,11200,3,3,45
509,11200,3,3,45
509,11104,5,5,75
509,11104,2,2,30
509,11104,6,6,90
509,11104,2,2,30
509,11104,3,3,45
509,11104,2,2,30
509,11104,2,2,30
509,11104,2,2,30
509,11104,3,3,45
509,11104,3,3,45
509,11104,2,2,30
509,11104,2,2,30
509,11104,3,2,30
509,11104,4,4,60
509,11104,2,2,30
509,11104,3,3,45
509,11104,5,4,60
509,11200,2,2,30
509,11200,5,5,75
509,11200,2,2,30
509,11200,2,2,30
509,11200,2,1,15
509,11200,5,4,60
509,11200,2,2,30
509,12300,1,1,30
509,12300,2,2,30
510,11104,440,NA,NA
510,11200,616,NA,NA
510,12300,144,NA,NA
510,12400,415,NA,NA
510,12500,205,NA,NA
510,12600,49,NA,NA
511,11104,811,NA,286
511,11200,934,NA,270
511,12300,304,NA,67
511,12400,726,NA,172
511,12500,497,NA,73
511,12600,134,NA,17
512,11104,799,NA,NA
512,11200,915,NA,NA
512,12300,235,NA,NA
512,12400,540,NA,NA
512,12500,236,NA,NA
512,12600,64,NA,NA
500,NA,NA,NA,NA
500,NA,NA,NA,NA
500,NA,NA,NA,NA
500,NA,NA,NA,NA
500,NA,NA,NA,NA
500,NA,NA,NA,NA
500,NA,NA,NA,NA
500,NA,NA,NA,NA
501,11104,NA,143,198
501,11200,NA,180,227
501,12300,NA,84,51
502,11104,562,NA,215
502,11200,487,NA,173
502,12300,187,NA,60
502,12400,342,NA,164
502,12500,145,NA,83
502,12600,88,NA,30
503,11104,800,NA,NA
503,11200,741,NA,NA
503,12300,314,NA,NA
503,12400,650,NA,168
503,12500,274,NA,78
503,12600,200,NA,55
504,11104,430,NA,200
504,11200,549,NA,244
504,12300,296,NA,128
505,12400,NA,82,NA
505,12500,NA,18,NA
505,12600,NA,18,NA
505,11104,NA,101,91
505,11200,NA,69,66
505,12300,NA,19,13
506,12400,NA,87,34
506,12500,NA,34,18
506,12600,NA,6,6
506,11104,NA,69,NA
506,11200,NA,63,NA
506,12300,NA,10,NA
507,11104,478,NA,204
507,11200,704,NA,235
507,12300,175,NA,47
507,12400,462,NA,161
507,12500,206,NA,79
507,12600,54,NA,24
508,11104,328,NA,NA
508,11200,451,NA,NA
508,12300,88,NA,NA
508,12400,252,NA,NA
508,12500,135,NA,NA
508,12600,35,NA,NA
509,11104,349,NA,138
509,11200,461,NA,149
509,12300,114,NA,43
509,12400,374,NA,128
509,12500,198,NA,86
509,12600,41,NA,19
509,12500,1,1,15
509,12500,1,1,15
509,12500,2,2,30
509,12600,1,1,15
509,12500,3,3,45
509,12500,1,1,15
509,12500,2,2,30
509,12500,2,2,30
509,12500,2,2,30
509,12500,2,2,30
509,12500,4,4,60
509,12500,2,2,30
299,31002,12,NA,NA
299,31005,628,NA,NA
299,32007,414,NA,NA
299,32009,159,NA,NA
299,33012,646,NA,NA
299,33013,8,NA,NA
300,31002,3,NA,NA
300,31005,307,NA,NA
300,32007,103,NA,NA
300,32009,140,NA,NA
300,33012,311,NA,NA
300,33013,0,NA,NA
301,41100,62,NA,NA
301,41200,85,NA,NA
301,41300,104,NA,NA
301,41400,252,NA,NA
301,42500,160,NA,NA
301,42600,266,NA,NA
302,41100,32,NA,NA
302,41200,47,NA,NA
302,41300,54,NA,NA
302,41400,119,NA,NA
302,42500,80,NA,NA
302,42600,84,NA,NA
303,21100,0,NA,NA
303,21200,354,NA,NA
303,22307,332,NA,NA
303,22309,254,NA,NA
304,21100,0,NA,NA
304,21200,666,NA,NA
304,22307,457,NA,NA
304,22309,359,NA,NA
305,11101,46,NA,NA
305,11104,66,NA,NA
305,11200,125,NA,NA
305,12300,51,NA,NA
305,12400,461,NA,NA
305,12500,500,NA,NA
305,12600,492,NA,NA
306,11101,21,NA,NA
306,11104,30,NA,NA
306,11200,56,NA,NA
306,12300,23,NA,NA
306,12400,222,NA,NA
306,12500,208,NA,NA
306,12600,221,NA,NA
307,21100,NA,NA,0
307,21200,NA,NA,48
307,22307,NA,NA,41
307,22309,NA,NA,16
308,31002,14,NA,NA
308,31005,1225,NA,NA
308,32007,951,NA,NA
308,32009,385,NA,NA
308,33012,913,NA,NA
308,33013,6,NA,NA
309,41100,127,NA,NA
309,41200,88,NA,NA
309,41300,281,NA,NA
309,41400,647,NA,NA
309,42500,300,NA,NA
309,42600,453,NA,NA
310,31002,59,NA,NA
310,31005,971,NA,NA
310,32007,829,NA,NA
310,32009,480,NA,NA
310,33012,1045,NA,NA
310,33013,26,NA,NA
250,11101,26,NA,NA
250,11104,103,NA,NA
250,11200,143,NA,NA
250,12300,42,NA,NA
250,12400,424,NA,NA
250,12500,544,NA,NA
250,12600,647,NA,NA
251,11101,58,NA,NA
251,11104,111,NA,NA
251,11200,176,NA,NA
251,12300,58,NA,NA
251,12400,512,NA,NA
251,12500,743,NA,NA
251,12600,720,NA,NA
252,21100,0,NA,NA
252,21200,412,NA,NA
252,22307,527,NA,NA
252,22309,317,NA,NA
253,21100,94,NA,NA
253,21200,382,NA,NA
253,22307,644,NA,NA
253,22309,595,NA,NA
254,21100,0,NA,NA
254,21200,1317,NA,NA
254,22307,1248,NA,NA
254,22309,1026,NA,NA
255,11101,124,NA,NA
255,11104,239,NA,NA
255,11200,379,NA,NA
255,12300,124,NA,NA
255,12400,1200,NA,NA
255,12500,1392,NA,NA
255,12600,1659,NA,NA
256,11101,121,NA,NA
256,11104,233,NA,NA
256,11200,371,NA,NA
256,12300,121,NA,NA
256,12400,1113,NA,NA
256,12500,1377,NA,NA
256,12600,1664,NA,NA
257,11101,13,NA,NA
257,11104,19,NA,NA
257,11200,35,NA,NA
257,12300,15,NA,NA
257,12400,93,NA,NA
257,12500,148,NA,NA
257,12600,171,NA,NA
258,41100,52,NA,NA
258,41200,120,NA,NA
258,41300,213,NA,NA
258,41400,308,NA,NA
258,42500,100,NA,NA
258,42600,191,NA,NA
259,31002,0,NA,NA
259,31005,300,NA,NA
259,32007,298,NA,NA
259,32009,197,NA,NA
259,33012,522,NA,NA
259,33013,10,NA,NA
260,11101,31,NA,NA
260,11104,8,NA,NA
260,11200,59,NA,NA
260,12300,44,NA,NA
260,12400,160,NA,NA
260,12500,268,NA,NA
260,12600,361,NA,NA
261,11101,41,NA,NA
91,42600,NA,134,NA
96,41100,37,NA,NA
96,41200,8,NA,NA
96,41300,203,NA,NA
96,41400,136,NA,NA
96,42500,47,NA,NA
96,42600,125,NA,NA
97,41100,NA,20,NA
97,41200,NA,24,NA
97,41300,NA,141,NA
97,41400,NA,137,NA
97,42500,NA,111,NA
97,42600,NA,145,NA
100,21100,19,NA,NA
100,21200,288,NA,NA
100,22307,124,NA,NA
100,22309,237,NA,NA
102,21100,NA,0,NA
102,21200,NA,167,NA
102,22307,NA,128,NA
102,22309,NA,186,NA
103,41100,NA,53,NA
103,41200,NA,60,NA
103,41300,NA,192,NA
103,41400,NA,170,NA
103,42500,NA,145,NA
103,42600,NA,171,NA
104,41100,NA,7,NA
104,41200,NA,1,NA
104,41300,NA,30,NA
104,41400,NA,64,NA
104,42500,NA,7,NA
104,42600,NA,33,NA
106,11101,NA,NA,66
106,11104,NA,NA,93
106,11200,NA,NA,156
106,12300,NA,NA,73
106,12400,NA,NA,323
106,12600,NA,NA,448
106,12600,NA,NA,438
107,11101,NA,NA,37
107,11104,NA,NA,52
107,11200,NA,NA,88
107,12300,NA,NA,41
107,12400,NA,NA,209
107,12500,NA,NA,244
107,12600,NA,NA,227
109,41100,34,NA,NA
109,41200,30,NA,NA
109,41300,244,NA,NA
109,41400,231,NA,NA
109,42500,102,NA,NA
109,42600,150,NA,NA
113,41100,NA,2,0
113,41200,NA,22,11
113,41300,NA,77,43
113,41400,NA,127,63
113,42500,NA,100,22
113,42600,NA,96,34
114,11101,12,NA,NA
114,11104,17,NA,NA
114,11200,28,NA,NA
114,12300,13,NA,NA
114,12400,53,NA,NA
114,12500,81,NA,NA
114,12600,85,NA,NA
115,11101,NA,NA,10
115,11104,NA,NA,15
115,11200,NA,NA,24
115,12300,NA,NA,11
115,12400,NA,NA,28
115,12500,NA,NA,67
115,12600,NA,NA,93
116,21100,NA,0,0
116,21200,NA,45,25
116,22307,NA,86,46
116,22309,NA,76,47
55,41100,67,NA,NA
55,41200,104,NA,NA
55,41300,497,NA,NA
55,41400,338,NA,NA
55,42500,262,NA,NA
55,42600,479,NA,NA
56,41100,5,NA,NA
56,41200,25,NA,NA
56,41300,273,NA,NA
56,41400,190,NA,NA
56,42500,78,NA,NA
56,42600,113,NA,NA
57,41100,37,NA,NA
57,41200,131,NA,NA
57,41300,463,NA,NA
57,41400,411,NA,NA
57,42500,156,NA,NA
57,42600,270,NA,NA
59,31002,36,NA,NA
59,31005,1069,NA,NA
59,32007,590,NA,NA
59,32009,882,NA,NA
59,33012,666,NA,NA
59,33013,30,NA,NA
60,31002,24,NA,NA
60,31005,966,NA,NA
60,32007,681,NA,NA
60,32009,684,NA,NA
60,33012,1063,NA,NA
60,33013,66,NA,NA
61,41100,64,NA,NA
61,41200,65,NA,NA
61,41300,334,NA,NA
61,42500,156,NA,NA
61,42600,283,NA,NA
61,41400,332,NA,NA
62,41100,124,NA,NA
62,41200,263,NA,NA
62,41300,681,NA,NA
62,41400,539,NA,NA
62,42500,367,NA,NA
62,42600,619,NA,NA
46,41100,90,NA,NA
46,41200,74,NA,NA
46,41300,295,NA,NA
46,41400,255,NA,NA
46,42500,199,NA,NA
46,42600,368,NA,NA
47,31002,13,NA,NA
47,31005,739,NA,NA
47,32007,758,NA,NA
47,32009,575,NA,NA
47,33012,917,NA,NA
47,33013,14,NA,NA
48,21100,108,NA,NA
48,21200,372,NA,NA
48,22307,272,NA,NA
48,22309,485,NA,NA
49,41100,120,NA,NA
49,41200,275,NA,NA
49,41300,622,NA,NA
49,41400,756,NA,NA
49,42500,388,NA,NA
49,42600,825,NA,NA
50,31005,74,NA,NA
50,31005,1210,NA,NA
50,32007,896,NA,NA
50,32009,916,NA,NA
50,33012,1658,NA,NA
50,33013,26,NA,NA
51,41100,55,NA,NA
51,41200,52,NA,NA
51,41300,388,NA,NA
51,41400,423,NA,NA
51,42500,219,NA,NA
51,42600,210,NA,NA
52,31002,17,NA,NA
52,31005,579,NA,NA
52,32007,389,NA,NA
52,32009,355,NA,NA
52,33012,677,NA,NA
52,33013,16,NA,NA
53,31002,16,NA,NA
53,31005,731,NA,NA
53,32007,505,NA,NA
53,32009,329,NA,NA
53,33012,792,NA,NA
53,33013,22,NA,NA
54,41100,126,NA,NA
54,41200,51,NA,NA
54,41300,427,NA,NA
54,41400,245,NA,NA
54,42500,198,NA,NA
54,42600,276,NA,NA
117,21100,2,NA,NA
117,21200,44,NA,NA
117,22307,61,NA,NA
117,22309,110,NA,NA
118,41100,78,NA,NA
118,41200,40,NA,NA
118,41300,155,NA,NA
118,41400,170,NA,NA
118,42500,26,NA,NA
63,31002,127,NA,NA
63,31005,843,NA,NA
63,32007,291,NA,NA
63,32009,526,NA,NA
63,33012,1087,NA,NA
63,33013,58,NA,NA
64,31002,11,NA,NA
64,31005,389,NA,NA
64,32007,423,NA,NA
64,32009,269,NA,NA
64,33012,697,NA,NA
64,33013,19,NA,NA
66,11101,178,NA,NA
66,11104,575,NA,NA
66,11200,793,NA,NA
66,12300,446,NA,NA
66,12400,1119,NA,NA
66,12500,714,NA,NA
66,12600,736,NA,NA
67,11101,72,NA,NA
67,11104,233,NA,NA
67,11200,321,NA,NA
67,12300,181,NA,NA
67,12400,427,NA,NA
67,12500,334,NA,NA
67,12600,280,NA,NA
68,11101,NA,NA,30
68,11104,NA,NA,103
68,11200,NA,NA,126
68,12300,NA,NA,56
68,12400,NA,NA,170
68,12500,NA,NA,83
68,12600,NA,NA,57
69,31002,9,NA,NA
118,42600,17,NA,NA
120,41100,36,NA,NA
120,41200,42,NA,NA
120,41300,399,NA,NA
120,41400,282,NA,NA
120,42500,134,NA,NA
120,42600,192,NA,NA
122,21100,7,NA,NA
122,21200,157,NA,NA
122,22307,223,NA,NA
122,22309,179,NA,NA
123,41100,0,NA,NA
123,41200,8,NA,NA
123,41300,101,NA,NA
123,41400,68,NA,NA
123,42500,34,NA,NA
123,42600,20,NA,NA
69,31005,390,NA,NA
69,32007,352,NA,NA
69,32009,296,NA,NA
69,33012,565,NA,NA
69,33013,0,NA,NA
70,21100,608,NA,NA
70,21200,563,NA,NA
70,22307,361,NA,NA
70,22309,568,NA,NA
71,21100,151,NA,NA
71,21200,130,NA,NA
71,22307,140,NA,NA
71,22309,207,NA,NA
72,21100,217,NA,NA
72,21200,107,NA,NA
72,22307,153,NA,NA
72,22309,153,NA,NA
73,21100,120,NA,NA
73,21200,35,NA,NA
73,22307,97,NA,NA
73,22309,146,NA,NA
74,41100,109,NA,NA
74,41200,75,NA,NA
74,41300,417,NA,NA
74,41400,393,NA,NA
74,42500,187,NA,NA
74,42600,397,NA,NA
75,41100,5,NA,NA
75,41200,32,NA,NA
75,41300,131,NA,NA
75,41400,110,NA,NA
75,42500,69,NA,NA
75,42600,136,NA,NA
76,41100,31,NA,NA
76,41200,19,NA,NA
76,41300,203,NA,NA
76,41400,275,NA,NA
76,42500,97,NA,NA
76,42600,268,NA,NA
77,41100,28,NA,NA
77,41200,34,NA,NA
77,41300,177,NA,NA
77,41400,111,NA,NA
77,42500,53,NA,NA
77,42600,155,NA,NA
78,21100,12,NA,NA
78,21200,289,NA,NA
78,22307,267,NA,NA
78,22309,581,NA,NA
79,21100,80,NA,NA
79,21200,980,NA,NA
79,22307,764,NA,NA
79,22309,1134,NA,NA
80,21100,57,NA,NA
80,21200,871,NA,NA
80,22307,420,NA,NA
80,22309,706,NA,NA
81,31002,9,NA,NA
81,31005,1343,NA,NA
81,32007,646,NA,NA
81,32009,484,NA,NA
81,33012,735,NA,NA
81,32009,8,NA,NA
82,31002,107,NA,NA
82,31005,949,NA,NA
82,32007,515,NA,NA
82,32009,380,NA,NA
82,33012,808,NA,NA
138,32007,660,NA,NA
138,32009,616,NA,NA
138,33012,1459,NA,NA
138,33013,8,NA,NA
139,41100,86,NA,NA
139,41200,84,NA,NA
139,41300,600,NA,NA
139,41400,515,NA,NA
139,42500,176,NA,NA
139,42600,353,NA,NA
140,41100,91,NA,NA
140,41200,150,NA,NA
140,41300,879,NA,NA
140,41400,1103,NA,NA
140,42500,322,NA,NA
140,42600,843,NA,NA
141,41100,99,NA,NA
141,41200,190,NA,NA
141,41300,523,NA,NA
141,41400,682,NA,NA
141,42500,316,NA,NA
141,42600,452,NA,NA
142,21100,16,NA,NA
142,21200,575,NA,NA
142,22307,528,NA,NA
142,22309,556,NA,NA
143,11101,119,NA,NA
143,11104,270,NA,NA
143,11200,392,NA,NA
143,12300,178,NA,NA
143,12400,1095,NA,NA
143,12500,2078,NA,NA
143,12600,2217,NA,NA
144,11101,135,NA,NA
144,11104,225,NA,NA
144,11200,313,NA,NA
144,12300,165,NA,NA
144,12400,858,NA,NA
144,12500,1179,NA,NA
144,12600,1805,NA,NA
145,21100,18,NA,NA
145,21200,443,NA,NA
145,22307,534,NA,NA
145,22309,468,NA,NA
146,11101,78,NA,NA
146,11104,130,NA,NA
146,11200,181,NA,NA
146,12300,95,NA,NA
146,12400,689,NA,NA
146,12500,951,NA,NA
146,12600,578,NA,NA
147,11101,45,NA,NA
147,11104,74,NA,NA
147,11200,103,NA,NA
147,12300,55,NA,NA
147,12400,202,NA,NA
147,12500,476,NA,NA
