EventID,LocationID,NPeople,NLanterns,NCars
1509,41100,182,NA,NA
1509,41200,208,NA,NA
1509,41300,999,NA,NA
1509,41400,802,NA,NA
1509,42500,388,NA,NA
1509,42600,1008,NA,NA
1510,31002,25,NA,NA
1510,31005,1724,NA,NA
1510,32007,978,NA,NA
1510,32009,848,NA,NA
1510,33012,1760,NA,NA
1510,33013,44,NA,NA
1511,41100,289,NA,NA
1511,41200,515,NA,NA
1511,41300,792,NA,NA
1511,41400,900,NA,NA
1511,42500,328,NA,NA
1511,42600,1245,NA,NA
1512,41100,275,NA,NA
1512,41200,455,NA,NA
1512,41300,1203,NA,NA
1512,41400,1199,NA,NA
1512,42500,354,NA,NA
1512,42600,1374,NA,NA
1513,41100,419,NA,NA
1513,41200,551,NA,NA
1513,41300,1228,NA,NA
1513,41400,1226,NA,NA
1513,42500,429,NA,NA
1513,42600,1132,NA,NA
1514,21200,2237,NA,NA
1514,22307,1450,NA,NA
1514,22309,1832,NA,NA
1515,21200,1273,NA,NA
1515,22307,1268,NA,NA
1515,22309,1458,NA,NA
1516,11101,158,NA,NA
1516,11104,441,NA,NA
1516,11200,549,NA,NA
1516,12300,273,NA,NA
1516,12400,1969,NA,NA
1516,12500,1311,NA,NA
1516,12600,3297,NA,NA
1517,11101,190,NA,NA
1517,11104,503,NA,NA
1517,11200,620,NA,NA
1517,12300,301,NA,NA
1517,12400,1055,NA,NA
1517,12500,1264,NA,NA
1517,12600,4470,NA,NA
1518,21200,NA,NA,110
1518,22307,NA,NA,85
1518,22309,NA,NA,146
1519,41100,NA,NA,10
1519,41200,NA,NA,25
1519,41300,NA,NA,107
1519,41400,NA,NA,99
1519,42500,NA,NA,19
1519,42600,NA,NA,101
1520,21200,NA,NA,58
1520,22307,NA,NA,107
1520,22309,NA,NA,113
1521,31002,NA,NA,1
1521,31005,NA,NA,153
1521,32007,NA,NA,67
1521,32009,NA,NA,93
1521,33012,NA,NA,192
1521,33012,3,NA,NA
1532,41200,27,NA,NA
1532,41300,119,NA,NA
1532,41400,118,NA,NA
1532,42500,40,NA,NA
1532,42600,133,NA,NA
1533,31002,NA,NA,0
1533,31005,NA,NA,114
1533,32007,NA,NA,88
1533,32009,NA,NA,107
1533,33012,NA,NA,147
1534,41100,NA,NA,11
1534,41200,NA,NA,31
1534,41300,NA,NA,241
1534,41400,NA,NA,231
1534,42500,NA,NA,33
1534,42600,NA,NA,170
1535,31002,NA,NA,0
1535,31005,NA,NA,67
1535,32007,NA,NA,47
1535,32009,NA,NA,139
1535,33012,NA,NA,97
1535,33013,NA,NA,0
1536,21100,0,NA,NA
1536,21200,210,NA,NA
1536,22307,150,NA,NA
1536,22309,247,NA,NA
1537,21100,NA,NA,0
1537,21200,NA,NA,72
1537,22307,NA,NA,85
1537,22309,NA,NA,117
1538,21100,NA,NA,0
1538,21200,NA,NA,119
1538,22307,NA,NA,184
1538,22309,NA,NA,195
1539,31002,0,NA,NA
1539,31005,296,NA,NA
1539,32007,101,NA,NA
1539,32009,122,NA,NA
1539,33012,391,NA,NA
1539,33013,0,NA,NA
1540,41100,NA,NA,18
1540,41200,NA,NA,34
1540,41300,NA,NA,241
1540,41400,NA,NA,258
1540,42500,NA,NA,47
1540,42600,NA,NA,194
1541,21100,0,NA,NA
1541,21200,446,NA,NA
1541,22307,365,NA,NA
1541,22309,476,NA,NA
1542,31002,NA,NA,3
1542,31005,NA,NA,193
1542,32007,NA,NA,109
1542,32009,NA,NA,93
1542,33012,NA,NA,206
1542,33013,NA,NA,0
1543,41100,NA,NA,22
1543,41200,NA,NA,20
1543,41300,NA,NA,83
1543,41400,NA,NA,84
1543,42500,NA,NA,21
1543,42600,NA,NA,95
1544,41100,NA,NA,4
1544,41200,NA,NA,6
1544,41300,NA,NA,55
1544,41400,NA,NA,33
1532,41100,11,NA,NA
1544,42500,NA,NA,10
1544,42600,NA,NA,34
1545,21200,NA,NA,25
1545,22307,NA,NA,24
1545,22309,NA,NA,26
1545,21100,NA,NA,0
1546,31002,1,NA,NA
1546,31005,185,NA,NA
1546,32007,109,NA,NA
1546,32009,143,NA,NA
1546,33012,240,NA,NA
1546,33013,2,NA,NA
1547,21200,337,NA,NA
1547,22307,283,NA,NA
1547,22309,208,NA,NA
1548,21200,171,NA,NA
1548,22307,149,NA,NA
1548,22309,81,NA,NA
1549,41100,NA,NA,10
1549,41200,NA,NA,6
1549,41300,NA,NA,123
1549,41400,211,NA,NA
1549,42500,34,NA,NA
1549,42600,145,NA,NA
1550,21200,NA,NA,102
1550,22307,NA,NA,69
1550,22309,NA,NA,79
1551,31005,NA,NA,137
1551,32007,NA,NA,62
1551,32009,NA,NA,41
1551,33012,NA,NA,147
1551,33013,NA,NA,0
1552,41100,NA,NA,1
1552,41200,NA,NA,2
1552,41300,NA,NA,17
1552,41400,NA,NA,17
1552,42500,NA,NA,5
1552,42600,NA,NA,16
1553,21200,NA,NA,12
1553,22307,NA,NA,9
1553,22309,NA,NA,5
1554,41100,0,NA,NA
1554,41200,9,NA,NA
1554,41300,79,NA,NA
1554,41400,48,NA,NA
1554,42500,30,NA,NA
1554,42600,44,NA,NA
1555,31002,3,NA,NA
