EventID,SumClams,SumDiggers,SumPeople,SumLanterns,AvgPplPerCar,n_interviews,CPUE,DiggersPeople,DiggersLanterns
1,734,79,82,0,NA,33,9.291139240506329,0.9634146341463414,NA
2,172,23,22,0,30,11,7.478260869565218,1.0454545454545454,NA
3,120,9,9,0,NA,7,13.333333333333334,1,NA
4,261,35,38,0,NA,14,7.457142857142857,0.9210526315789473,NA
5,607,49,49,0,NA,26,12.387755102040817,1,NA
6,294,41,45,0,NA,22,7.170731707317073,0.9111111111111111,NA
7,917,62,68,0,NA,22,14.790322580645162,0.9117647058823529,NA
8,1470,98,102,0,NA,40,15,0.9607843137254902,NA
9,675,45,45,0,NA,16,15,1,NA
10,1551,104,110,0,NA,31,14.913461538461538,0.9454545454545454,NA
11,319,20,21,0,NA,12,15.95,0.9523809523809523,NA
12,438,32,33,0,NA,14,13.6875,0.9696969696969697,NA
13,1762,119,120,0,NA,32,14.806722689075631,0.9916666666666667,NA
14,615,41,42,0,NA,18,15,0.9761904761904762,NA
15,945,63,63,0,NA,30,15,1,NA
16,1350,90,90,0,NA,34,15,1,NA
17,930,62,64,0,NA,22,15,0.96875,NA
18,1069,72,74,0,NA,31,14.847222222222221,0.972972972972973,NA
21,1635,111,115,0,NA,36,14.72972972972973,0.9652173913043478,NA
22,1230,83,84,0,2,37,14.819277108433734,0.9880952380952381,NA
23,1212,82,86,0,NA,32,14.78048780487805,0.9534883720930233,NA
24,1686,113,126,0,NA,55,14.920353982300885,0.8968253968253969,NA
25,730,61,66,0,NA,29,11.967213114754099,0.9242424242424242,NA
26,1090,70,70,0,NA,22,15.571428571428571,1,NA
27,1770,118,119,0,NA,35,15,0.9915966386554622,NA
28,570,38,38,0,NA,22,15,1,NA
29,457,31,31,0,NA,19,14.741935483870968,1,NA
30,975,67,67,0,NA,25,14.552238805970148,1,NA
31,528,35,36,0,NA,16,15.085714285714285,0.9722222222222222,NA
32,750,50,50,0,NA,21,15,1,NA
33,620,48,55,18,NA,22,12.916666666666666,0.8727272727272727,2.6666666666666665
34,1548,103,109,0,NA,35,15.029126213592233,0.944954128440367,NA
38,431,31,34,0,NA,20,13.903225806451612,0.9117647058823529,NA
39,114,32,34,0,NA,15,3.5625,0.9411764705882353,NA
40,517,36,36,0,NA,16,14.36111111111111,1,NA
41,698,61,65,0,NA,22,11.442622950819672,0.9384615384615385,NA
42,684,56,59,0,NA,24,12.214285714285714,0.9491525423728814,NA
43,798,57,58,0,NA,17,14,0.9827586206896551,NA
44,37,13,13,0,NA,8,2.8461538461538463,1,NA
45,85,23,24,0,NA,11,3.6956521739130435,0.9583333333333334,NA
46,1655,109,110,0,NA,49,15.18348623853211,0.990909090909091,NA
47,785,64,65,0,NA,29,12.265625,0.9846153846153847,NA
48,980,68,68,0,NA,28,14.411764705882353,1,NA
49,1005,67,72,0,NA,24,15,0.9305555555555556,NA
50,1515,101,109,0,NA,45,15,0.926605504587156,NA
51,1006,67,68,0,NA,29,15.014925373134329,0.9852941176470589,NA
52,641,52,52,0,NA,22,12.326923076923077,1,NA
53,985,67,68,0,NA,29,14.701492537313433,0.9852941176470589,NA
54,672,50,50,0,NA,28,13.44,1,NA
55,522,39,45,0,NA,18,13.384615384615385,0.8666666666666667,NA
56,599,42,45,0,NA,21,14.261904761904763,0.9333333333333333,NA
57,947,63,65,0,NA,27,15.031746031746032,0.9692307692307692,NA
58,28,31,31,0,1.39,1,0.9032258064516129,1,NA
59,678,46,46,0,NA,16,14.73913043478261,1,NA
60,769,55,57,0,NA,29,13.981818181818182,0.9649122807017544,NA
61,946,63,64,0,NA,23,15.015873015873016,0.984375,NA
62,1597,109,113,0,NA,34,14.65137614678899,0.9646017699115044,NA
63,1258,86,89,0,NA,35,14.627906976744185,0.9662921348314607,NA
64,1365,99,103,0,NA,42,13.787878787878787,0.9611650485436893,NA
65,1380,92,93,0,NA,35,15,0.989247311827957,NA
66,1394,94,103,0,NA,39,14.829787234042554,0.912621359223301,NA
67,1275,86,86,0,NA,34,14.825581395348838,1,NA
68,944,63,64,32,NA,27,14.984126984126984,0.984375,1.96875
69,630,69,72,0,NA,28,9.130434782608695,0.9583333333333334,NA
70,880,75,79,0,NA,28,11.733333333333333,0.9493670886075949,NA
71,492,42,47,0,NA,25,11.714285714285714,0.8936170212765957,NA
72,454,51,54,0,NA,25,8.901960784313726,0.9444444444444444,NA
73,685,47,48,0,NA,26,14.574468085106384,0.9791666666666666,NA
74,1677,112,113,0,NA,42,14.973214285714286,0.9911504424778761,NA
75,774,54,54,0,NA,32,14.333333333333334,1,NA
76,919,64,67,0,NA,29,14.359375,0.9552238805970149,NA
