EventID,LocationID,NHoles,NClams,NMorts
142,21200,100,7,7
142,22307,100,10,10
145,22307,100,4,4
146,12600,100,14,14
146,12500,100,15,13
150,31005,100,7,7
150,32007,100,3,2
150,32009,100,10,10
151,42600,100,3,3
151,41400,100,5,5
151,41300,100,3,3
152,12400,100,12,12
152,12500,100,9,9
153,41100,100,4,4
154,33012,100,2,2
154,32009,100,3,3
154,32007,100,4,4
156,31005,50,1,1
156,32007,100,3,3
157,22309,100,0,0
157,21200,100,2,2
158,12600,100,14,14
158,12500,100,5,5
158,12400,100,4,4
160,31005,100,9,9
160,32007,100,1,1
162,22307,100,6,6
162,21200,100,6,6
163,12500,100,5,5
182,21200,100,4,4
251,12500,100,5,5
252,21200,100,2,2
252,22307,100,3,2
254,21200,100,6,5
254,22307,100,5,5
254,22309,100,3,3
256,12600,100,8,8
258,42600,100,3,3
258,42500,100,3,3
259,33012,100,3,3
263,21200,100,3,3
264,21200,100,10,8
264,22307,100,1,1
266,41400,100,6,6
267,12400,100,0,0
267,12500,100,3,3
267,12600,100,0,0
268,21200,100,6,6
268,22307,100,4,3
269,31005,130,3,3
269,32007,100,1,1
270,31002,100,5,5
271,41400,100,5,5
271,41300,100,3,3
274,41400,100,14,14
275,31005,100,5,5
275,31005,100,2,2
275,33012,100,2,2
276,21200,100,2,2
278,32009,100,3,3
282,22307,100,4,4
299,32007,100,1,1
301,41400,100,5,5
303,22309,100,15,15
303,22307,100,15,15
304,22307,100,4,4
304,21200,100,1,1
304,21200,50,2,2
309,41400,100,7,6
313,12400,100,1,1
313,12600,100,2,2
325,21200,100,4,4
330,42500,100,4,4
331,32009,100,5,5
347,21200,50,1,1
347,21200,50,2,1
347,22307,50,1,1
347,22307,50,0,0
349,12600,50,2,1
349,12500,50,0,0
349,12400,100,1,1
351,42600,50,3,3
351,41300,100,5,5
352,41200,130,14,14
352,41400,100,4,4
353,42600,101,2,2
355,31005,100,4,4
355,32009,100,3,3
356,33012,100,4,4
356,32009,100,2,2
354,33012,100,0,0
354,31005,100,2,2
357,11101,100,2,2
357,12300,100,7,6
360,22309,100,7,7
360,22307,100,9,9
361,21200,100,6,4
361,22307,100,7,7
362,22309,100,3,3
362,21200,100,5,5
363,21200,100,5,5
3,NA,NA,NA,NA
364,12400,100,8,8
364,12500,100,5,5
364,12600,100,4,4
365,12400,100,4,4
365,12600,100,7,7
365,12500,100,4,4
366,21200,100,2,2
366,22307,100,2,2
368,12500,100,3,3
368,11200,50,1,1
371,21200,100,5,5
372,41300,100,4,4
372,42500,100,5,5
373,41200,100,1,1
373,41400,100,1,1
374,22307,100,5,5
376,21200,100,8,8
380,42600,100,1,1
380,41400,100,2,2
380,41300,100,2,2
381,41300,100,6,6
381,42500,100,1,1
