EventID,effort,harvest,n_census,people,beach,date,season,CF,TideHeight,CPUE,diggers_people,sum_people,n_interviews,wastage_rate,wastage,pct_interviewed
1.0,2733.300529725842,25395.475807832503,6,1759.0,Twin Harbors,2009-01-07,2008-09,0.6200000047683716,-0.1,9.291139240506329,0.9634146341463414,82.0,33.0,,,0.03000036004391542
2.0,594.4393804966771,4445.37275849689,6,235.0,Copalis,2012-01-20,2011-12,0.4133000373840332,-0.5,7.478260869565218,1.0454545454545454,22.0,11.0,0.04,177.8149103398756,0.037009661071946726
3.0,415.2042563893916,5536.056751858555,6,209.0,Mocrocks,2012-01-20,2011-12,0.5033667087554932,-0.5,13.333333333333334,1.0,9.0,7.0,,,0.021676078367461427
4.0,298.09263096077103,2222.9193337360357,4,167.0,Twin Harbors,2012-01-20,2011-12,0.515999972820282,-0.5,7.457142857142857,0.9210526315789473,38.0,14.0,,,0.1274771532510671
5.0,1672.1441641465926,20714.11240075473,6,831.0,Copalis,2012-01-21,2011-12,0.49696671962738037,-0.8,12.387755102040817,1.0,49.0,26.0,,,0.02930369345576611
6.0,1104.0844118363034,7917.093099509103,7,800.0,LongBeach,2012-01-20,2011-12,0.6601749658584595,-0.5,7.170731707317073,0.9111111111111111,45.0,22.0,,,0.04075775322754208
7.0,4728.151408124089,69930.88453628693,6,1089.0,Mocrocks,2007-10-26,2007-08,0.20999999344348907,-1.7,14.790322580645162,0.9117647058823529,68.0,22.0,,,0.014381942144060746
8.0,3021.1327775544555,45316.99166331683,6,1698.0,Mocrocks,2007-10-27,2007-08,0.5400000214576721,-1.9,15.0,0.9607843137254902,102.0,40.0,,,0.033762170520213575
9.0,3629.508111605688,54442.62167408533,6,2214.0,Mocrocks,2007-11-23,2007-08,0.6100000143051147,-1.3,15.0,1.0,45.0,16.0,,,0.012398374274494204
10.0,2383.7272372069688,35549.624470269315,6,2017.0,Mocrocks,2007-11-24,2007-08,0.800000011920929,-1.7,14.913461538461538,0.9454545454545454,110.0,31.0,,,0.04614621936731647
11.0,1309.9140988674549,20893.129876935905,6,839.0,Mocrocks,2007-12-21,2007-08,0.6100000143051147,-0.4,15.95,0.9523809523809523,21.0,12.0,,,0.016031585596457426
12.0,1723.1991647556613,23586.28856759311,6,1084.0,Mocrocks,2007-12-22,2007-08,0.6100000143051147,-0.9,13.6875,0.9696969696969697,33.0,14.0,,,0.01915042710961341
13.0,2288.8306275580726,33890.08038451533,6,1431.0,Mocrocks,2008-04-20,2007-08,0.6200000047683716,-0.4,14.806722689075631,0.9916666666666667,120.0,32.0,0.0,0.0,0.05242851898046586
14.0,2335.6260094833297,35034.39014224995,6,1292.0,Mocrocks,2008-05-04,2007-08,0.5400000214576721,-1.2,15.0,0.9761904761904762,42.0,18.0,0.045,1576.5475564012477,0.017982331002252768
15.0,1131.4814365204488,16972.22154780673,6,611.0,Mocrocks,2008-05-05,2007-08,0.5400000214576721,-1.9,15.0,1.0,63.0,30.0,,,0.055679216615111854
16.0,3706.5572901266764,55598.359351900144,6,2261.0,Mocrocks,2008-05-24,2007-08,0.6100000143051147,-0.5,15.0,1.0,90.0,34.0,0.076,4225.475310744411,0.024281292033374757
17.0,3732.465775079268,55986.98662618902,6,1545.0,Copalis,2007-10-26,2007-08,0.4009999930858612,-1.7,15.0,0.96875,64.0,22.0,,,0.017146841754668414
18.0,5186.021713136646,76998.01682420936,6,2729.0,Copalis,2007-10-27,2007-08,0.5120000243186951,-1.9,14.847222222222221,0.972972972972973,74.0,31.0,0.01,769.9801682420937,0.014269126527671787
21.0,1861.2306172892047,27415.423957368017,5,1022.0,Copalis,2007-12-21,2007-08,0.5299999713897705,-0.4,14.72972972972973,0.9652173913043478,115.0,36.0,0.0,0.0,0.06178707728733375
22.0,2854.290360727758,42298.51980355593,6,1531.0,Copalis,2007-12-22,2007-08,0.5299999713897705,-0.9,14.819277108433734,0.9880952380952381,84.0,37.0,,,0.029429381521851383
23.0,4823.37984496124,71291.9069767442,6,3794.0,Copalis,2008-01-19,2007-08,0.75,,14.78048780487805,0.9534883720930233,86.0,32.0,,,0.01782982115535441
24.0,6996.930596333596,104396.68128688888,6,4135.0,Copalis,2008-01-20,2007-08,0.5299999713897705,,14.920353982300885,0.8968253968253969,126.0,55.0,0.025,2609.917032172222,0.018007896214666502
