EventID,sum_clams,sum_diggers,sum_people,sum_lanterns,ppl_per_car,n_interviews,CPUE,diggers_people,diggers_lanterns
1.0,734.0,79.0,82.0,0.0,,33,9.291139240506329,0.9634146341463414,
2.0,172.0,23.0,22.0,0.0,30.0,11,7.478260869565218,1.0454545454545454,
3.0,120.0,9.0,9.0,0.0,,7,13.333333333333334,1.0,
4.0,261.0,35.0,38.0,0.0,,14,7.457142857142857,0.9210526315789473,
5.0,607.0,49.0,49.0,0.0,,26,12.387755102040817,1.0,
6.0,294.0,41.0,45.0,0.0,,22,7.170731707317073,0.9111111111111111,
7.0,917.0,62.0,68.0,0.0,,22,14.790322580645162,0.9117647058823529,
8.0,1470.0,98.0,102.0,0.0,,40,15.0,0.9607843137254902,
9.0,675.0,45.0,45.0,0.0,,16,15.0,1.0,
10.0,1551.0,104.0,110.0,0.0,,31,14.913461538461538,0.9454545454545454,
11.0,319.0,20.0,21.0,0.0,,12,15.95,0.9523809523809523,
12.0,438.0,32.0,33.0,0.0,,14,13.6875,0.9696969696969697,
13.0,1762.0,119.0,120.0,0.0,,32,14.806722689075631,0.9916666666666667,
14.0,615.0,41.0,42.0,0.0,,18,15.0,0.9761904761904762,
15.0,945.0,63.0,63.0,0.0,,30,15.0,1.0,
16.0,1350.0,90.0,90.0,0.0,,34,15.0,1.0,
17.0,930.0,62.0,64.0,0.0,,22,15.0,0.96875,
18.0,1069.0,72.0,74.0,0.0,,31,14.847222222222221,0.972972972972973,
21.0,1635.0,111.0,115.0,0.0,,36,14.72972972972973,0.9652173913043478,
22.0,1230.0,83.0,84.0,0.0,2.0,37,14.819277108433734,0.9880952380952381,
23.0,1212.0,82.0,86.0,0.0,,32,14.78048780487805,0.9534883720930233,
24.0,1686.0,113.0,126.0,0.0,,55,14.920353982300885,0.8968253968253969,
25.0,730.0,61.0,66.0,0.0,,29,11.967213114754099,0.9242424242424242,
26.0,1090.0,70.0,70.0,0.0,,22,15.571428571428571,1.0,
27.0,1770.0,118.0,119.0,0.0,,35,15.0,0.9915966386554622,
28.0,570.0,38.0,38.0,0.0,,22,15.0,1.0,
29.0,457.0,31.0,31.0,0.0,,19,14.741935483870968,1.0,
30.0,975.0,67.0,67.0,0.0,,25,14.552238805970148,1.0,
31.0,528.0,35.0,36.0,0.0,,16,15.085714285714285,0.9722222222222222,
32.0,750.0,50.0,50.0,0.0,,21,15.0,1.0,
33.0,620.0,48.0,55.0,18.0,,22,12.916666666666666,0.8727272727272727,2.6666666666666665
34.0,1548.0,103.0,109.0,0.0,,35,15.029126213592233,0.944954128440367,
38.0,431.0,31.0,34.0,0.0,,20,13.903225806451612,0.9117647058823529,
39.0,114.0,32.0,34.0,0.0,,15,3.5625,0.9411764705882353,
40.0,517.0,36.0,36.0,0.0,,16,14.36111111111111,1.0,
41.0,698.0,61.0,65.0,0.0,,22,11.442622950819672,0.9384615384615385,
42.0,684.0,56.0,59.0,0.0,,24,12.214285714285714,0.9491525423728814,
43.0,798.0,57.0,58.0,0.0,,17,14.0,0.9827586206896551,
44.0,37.0,13.0,13.0,0.0,,8,2.8461538461538463,1.0,
45.0,85.0,23.0,24.0,0.0,,11,3.6956521739130435,0.9583333333333334,
46.0,1655.0,109.0,110.0,0.0,,49,15.18348623853211,0.990909090909091,
47.0,785.0,64.0,65.0,0.0,,29,12.265625,0.9846153846153847,
48.0,980.0,68.0,68.0,0.0,,28,14.411764705882353,1.0,
49.0,1005.0,67.0,72.0,0.0,,24,15.0,0.9305555555555556,
50.0,1515.0,101.0,109.0,0.0,,45,15.0,0.926605504587156,
51.0,1006.0,67.0,68.0,0.0,,29,15.014925373134329,0.9852941176470589,
52.0,641.0,52.0,52.0,0.0,,22,12.326923076923077,1.0,
53.0,985.0,67.0,68.0,0.0,,29,14.701492537313433,0.9852941176470589,
54.0,672.0,50.0,50.0,0.0,,28,13.44,1.0,
55.0,522.0,39.0,45.0,0.0,,18,13.384615384615385,0.8666666666666667,
56.0,599.0,42.0,45.0,0.0,,21,14.261904761904763,0.9333333333333333,
57.0,947.0,63.0,65.0,0.0,,27,15.031746031746032,0.9692307692307692,
58.0,28.0,31.0,31.0,0.0,1.39,1,0.9032258064516129,1.0,
59.0,678.0,46.0,46.0,0.0,,16,14.73913043478261,1.0,
60.0,769.0,55.0,57.0,0.0,,29,13.981818181818182,0.9649122807017544,
61.0,946.0,63.0,64.0,0.0,,23,15.015873015873016,0.984375,
62.0,1597.0,109.0,113.0,0.0,,34,14.65137614678899,0.9646017699115044,
63.0,1258.0,86.0,89.0,0.0,,35,14.627906976744185,0.9662921348314607,
64.0,1365.0,99.0,103.0,0.0,,42,13.787878787878787,0.9611650485436893,
65.0,1380.0,92.0,93.0,0.0,,35,15.0,0.989247311827957,
66.0,1394.0,94.0,103.0,0.0,,39,14.829787234042554,0.912621359223301,
67.0,1275.0,86.0,86.0,0.0,,34,14.825581395348838,1.0,
68.0,944.0,63.0,64.0,32.0,,27,14.984126984126984,0.984375,1.96875
69.0,630.0,69.0,72.0,0.0,,28,9.130434782608695,0.9583333333333334,
70.0,880.0,75.0,79.0,0.0,,28,11.733333333333333,0.9493670886075949,
71.0,492.0,42.0,47.0,0.0,,25,11.714285714285714,0.8936170212765957,
72.0,454.0,51.0,54.0,0.0,,25,8.901960784313726,0.9444444444444444,
73.0,685.0,47.0,48.0,0.0,,26,14.574468085106384,0.9791666666666666,
74.0,1677.0,112.0,113.0,0.0,,42,14.973214285714286,0.9911504424778761,
75.0,774.0,54.0,54.0,0.0,,32,14.333333333333334,1.0,
76.0,919.0,64.0,67.0,0.0,,29,14.359375,0.9552238805970149,
77.0,900.0,60.0,60.0,0.0,,23,15.0,1.0,
78.0,646.0,48.0,50.0,0.0,,21,13.458333333333334,0.96,
79.0,712.0,68.0,68.0,0.0,,22,10.470588235294118,1.0,
81.0,1097.0,78.0,85.0,0.0,,21,14.064102564102564,0.9176470588235294,
82.0,1080.0,72.0,74.0,0.0,,22,15.0,0.972972972972973,
85.0,1216.0,81.0,82.0,0.0,,28,15.012345679012345,0.9878048780487805,
86.0,716.0,52.0,52.0,0.0,,20,13.76923076923077,1.0,
87.0,121.0,15.0,15.0,9.0,,10,8.066666666666666,1.0,1.6666666666666667
89.0,968.0,65.0,65.0,53.0,,26,14.892307692307693,1.0,1.2264150943396226
90.0,525.0,36.0,36.0,23.0,,15,14.583333333333334,1.0,1.565217391304348
91.0,1200.0,80.0,83.0,54.0,,26,15.0,0.963855421686747,1.4814814814814814
96.0,690.0,47.0,49.0,0.0,,23,14.680851063829786,0.9591836734693877,
97.0,788.0,55.0,57.0,47.0,,22,14.327272727272728,0.9649122807017544,1.1702127659574468
100.0,769.0,58.0,64.0,0.0,,25,13.258620689655173,0.90625,
102.0,667.0,48.0,51.0,36.0,,17,13.895833333333334,0.9411764705882353,1.3333333333333333
103.0,972.0,67.0,70.0,41.0,,23,14.507462686567164,0.9571428571428572,1.6341463414634145
104.0,330.0,22.0,22.0,17.0,,10,15.0,1.0,1.2941176470588236
106.0,1033.0,88.0,91.0,0.0,3.21875,32,11.738636363636363,0.967032967032967,
107.0,1253.0,86.0,88.0,0.0,2.6875,32,14.569767441860465,0.9772727272727273,
109.0,635.0,43.0,49.0,0.0,,20,14.767441860465116,0.8775510204081632,
113.0,562.0,44.0,44.0,0.0,2.1875,16,12.772727272727273,1.0,
114.0,18.0,5.0,13.0,0.0,,5,3.6,0.38461538461538464,
115.0,141.0,22.0,24.0,0.0,3.4444444444444446,9,6.409090909090909,0.9166666666666666,
116.0,434.0,33.0,34.0,15.0,2.0,15,13.151515151515152,0.9705882352941176,2.2
117.0,492.0,34.0,38.0,0.0,,18,14.470588235294118,0.8947368421052632,
118.0,720.0,48.0,48.0,0.0,,18,15.0,1.0,
120.0,414.0,31.0,34.0,0.0,,15,13.35483870967742,0.9117647058823529,
122.0,258.0,33.0,34.0,0.0,,12,7.818181818181818,0.9705882352941176,
123.0,210.0,14.0,15.0,0.0,2.142857142857143,7,15.0,0.9333333333333333,
125.0,934.0,66.0,68.0,0.0,,37,14.151515151515152,0.9705882352941176,
126.0,423.0,58.0,59.0,0.0,2.789473684210526,22,7.293103448275862,0.9830508474576272,
127.0,480.0,32.0,32.0,0.0,,13,15.0,1.0,
128.0,510.0,34.0,35.0,0.0,2.6666666666666665,15,15.0,0.9714285714285714,
130.0,1050.0,70.0,70.0,0.0,,37,15.0,1.0,
131.0,853.0,59.0,60.0,0.0,,21,14.457627118644067,0.9833333333333333,
133.0,105.0,0.0,0.0,0.0,1.39,1,,,
134.0,1374.0,92.0,98.0,0.0,3.5,31,14.934782608695652,0.9387755102040817,
135.0,725.0,110.0,124.0,0.0,,49,6.590909090909091,0.8870967741935484,
136.0,401.0,47.0,49.0,0.0,,21,8.53191489361702,0.9591836734693877,
137.0,694.0,78.0,80.0,0.0,3.0714285714285716,29,8.897435897435898,0.975,
138.0,869.0,59.0,59.0,0.0,,23,14.728813559322035,1.0,
139.0,1332.0,90.0,91.0,0.0,,34,14.8,0.989010989010989,
140.0,1654.0,120.0,123.0,0.0,,56,13.783333333333333,0.975609756097561,
141.0,1160.0,78.0,84.0,0.0,3.2222222222222223,25,14.871794871794872,0.9285714285714286,
142.0,390.0,26.0,26.0,0.0,,11,15.0,1.0,
143.0,507.0,138.0,140.0,0.0,,55,3.6739130434782608,0.9857142857142858,
144.0,556.0,50.0,52.0,0.0,,25,11.12,0.9615384615384616,
145.0,720.0,48.0,48.0,0.0,2.4285714285714284,18,15.0,1.0,
146.0,780.0,52.0,52.0,0.0,,20,15.0,1.0,
147.0,253.0,33.0,36.0,0.0,2.3333333333333335,13,7.666666666666667,0.9166666666666666,
148.0,778.0,55.0,57.0,0.0,,20,14.145454545454545,0.9649122807017544,
149.0,375.0,41.0,41.0,0.0,2.0,22,9.146341463414634,1.0,
150.0,1185.0,79.0,81.0,0.0,2.772727272727273,26,15.0,0.9753086419753086,
151.0,1050.0,70.0,72.0,0.0,,27,15.0,0.9722222222222222,
152.0,1065.0,102.0,103.0,0.0,,44,10.441176470588236,0.9902912621359223,
153.0,757.0,51.0,52.0,0.0,2.5714285714285716,20,14.843137254901961,0.9807692307692307,
154.0,1321.0,89.0,89.0,0.0,,31,14.842696629213483,1.0,
155.0,765.0,51.0,51.0,0.0,2.625,16,15.0,1.0,
156.0,616.0,41.0,41.0,0.0,2.0,19,15.024390243902438,1.0,
157.0,750.0,50.0,50.0,0.0,,23,15.0,1.0,
158.0,842.0,65.0,66.0,0.0,,30,12.953846153846154,0.9848484848484849,
159.0,1180.0,79.0,88.0,0.0,3.6666666666666665,25,14.936708860759493,0.8977272727272727,
160.0,1095.0,73.0,74.0,0.0,,28,15.0,0.9864864864864865,
161.0,814.0,59.0,60.0,0.0,,33,13.796610169491526,0.9833333333333333,
162.0,765.0,51.0,51.0,0.0,,19,15.0,1.0,
163.0,482.0,34.0,34.0,0.0,1.75,20,14.176470588235293,1.0,
164.0,1000.0,73.0,73.0,0.0,,33,13.698630136986301,1.0,
165.0,0.0,47.0,57.0,0.0,,1,0.0,0.8245614035087719,
166.0,0.0,40.0,42.0,0.0,,1,0.0,0.9523809523809523,
167.0,1230.0,83.0,85.0,0.0,,34,14.819277108433734,0.9764705882352941,
168.0,1133.0,76.0,82.0,0.0,2.769230769230769,28,14.907894736842104,0.926829268292683,
169.0,50.0,28.0,32.0,0.0,,1,1.7857142857142858,0.875,
