beach,season_year,season_label,n_events,total_effort,total_harvest,total_wastage,mean_cpue
Copalis,2005,2005-06,8,16576.292603193604,212266.24416505024,0,11.72611486999126
Copalis,2006,2006-07,6,37566.85629330709,525934.3533671056,0,13.835831538472883
Copalis,2007,2007-08,13,56500.90850970857,828318.6376364314,10122.494401085507,14.64936542936314
Copalis,2008,2008-09,24,91798.68531233276,1262043.3296207625,25105.81089862574,13.810159343278396
Copalis,2009,2009-10,23,100737.88524192525,1292142.1191289236,10248.98395106782,12.528370895802661
Copalis,2010,2010-11,15,71996.4748156242,950167.1998258017,11885.569765469168,13.093588915233
Copalis,2011,2011-12,13,35205.0900965767,463917.337730818,3252.2739622719937,12.835182099506762
Copalis,2012,2012-13,28,95700.16727775296,1364512.401509292,29175.157980475025,13.306937552107827
Copalis,2013,2013-14,24,75197.98080025338,1027048.4015367631,20570.852747207075,13.86106415373284
Copalis,2014,2014-15,21,58626.35753400054,780625.4738032991,13396.474254573543,11.91308208442318
Copalis,2015,2015-16,18,69536.10096292,952020.2622286902,9275.600466442886,13.936679052693657
Copalis,2016,2016-17,31,82107.97125970124,1040193.1714784721,18486.528761852966,12.579674483503174
Copalis,2017,2017-18,13,44600.553790960286,547903.3507512879,0,12.657957147015635
Copalis,2018,2018-19,20,62038.827531231414,808914.6836227091,13557.192681716118,12.6985536299212
Copalis,2019,2019-20,30,51380.34516009158,697548.2146329632,4408.902043080652,12.995973941334736
Copalis,2020,2020-21,6,15177.176433734245,227657.64650601367,2449.5260708045776,15
Copalis,2021,2021-22,57,95903.82640834119,1605332.5242795334,5932.912722467797,15.995383683638348
Copalis,2022,2022-23,38,80170.81473346759,1168069.565316945,6773.277794078669,13.564282223524964
Copalis,2023,2023-24,45,86087.50634137272,1054632.5934284956,12798.082578162315,11.183100992756295
Copalis,2024,2024-25,51,66576.32772328865,790464.0464202645,7075.004515788571,11.201940780570633
Copalis,2025,2025-26,51,72865.3657575156,861865.4942182759,9857.897263177421,10.100225829660422
Kalaloch,2010,2010-11,10,1362.5090599542903,633.1580746678002,0,0.5932603686635944
Kalaloch,2011,2011-12,3,2212.6648983297464,1389.9031533185707,0,1.2471941638608306
Kalaloch,2016,2016-17,3,1066.7272727272727,1959.5666666666666,0,2.597047397047397
LongBeach,1993,1993-94,36,299004.3513627245,4084351.571211348,62446.03355005929,13.790399269790123
LongBeach,2003,2003-04,16,123199.90604921707,1491704.7840797815,3269.5292456996535,12.950522682369211
LongBeach,2005,2005-06,2,11109.81226105263,164741.87374731284,0,14.827684314695695
LongBeach,2007,2007-08,18,108525.55552059985,1167108.597142141,3489.4732509786113,9.74698787292597
LongBeach,2008,2008-09,18,119707.28714064864,1162653.5923375478,38769.3297398217,10.468206951163374
LongBeach,2009,2009-10,28,107728.31779134084,1470938.5064881055,12909.913062497144,12.630446665278654
LongBeach,2010,2010-11,33,103197.70451811493,1408003.1912938105,9814.175096057736,13.739659887124716
LongBeach,2011,2011-12,21,105518.1661506187,1379586.5730495865,4413.228657000217,12.40879836167415
LongBeach,2012,2012-13,39,159339.42914763206,2254649.8581302334,55538.7065790506,12.892035088599
LongBeach,2013,2013-14,68,182524.67794546395,2323236.131777084,43499.86217935397,13.110055989298937
LongBeach,2014,2014-15,64,112205.00019354865,1607277.9479956029,30473.571290099768,13.303762049512208
LongBeach,2015,2015-16,59,148164.2814998146,2077002.5011642943,4289.855661300499,13.378328979756468
LongBeach,2016,2016-17,9,64340.15926667458,1293947.845153976,8572.83717563317,18.86028745677758
LongBeach,2017,2017-18,16,94213.34407157276,843102.1110751021,0,9.792222381609504
LongBeach,2018,2018-19,4,43895.80375886561,614561.9006777877,14589.659431307178,11.257743710691823
LongBeach,2019,2019-20,32,36749.95925842886,523622.65534697,13664.591006995783,13.761552402639687
LongBeach,2020,2020-21,6,15478.080695924073,232171.2104388611,7953.443741974528,15
LongBeach,2021,2021-22,74,79089.62523070366,1352683.1005839878,7158.043699268428,16.305878049279517
LongBeach,2022,2022-23,29,40451.72145731577,594385.4443927906,2488.579691965007,13.62251290975618
LongBeach,2023,2023-24,49,45457.28543897629,573560.0528679064,7305.39578479199,10.82602912054368
LongBeach,2024,2024-25,61,32626.24297739006,425987.7693790066,777.4101026810912,12.130669935638569
LongBeach,2025,2025-26,47,31406.03022755158,437270.53646412544,6895.553369561112,12.585250811164029
Mocrocks,2003,2003-04,5,10885.237918362378,162179.4450614075,0,14.809969986440574
Mocrocks,2005,2005-06,4,6014.473769233364,88836.85815133998,0,14.666480654761905
Mocrocks,2006,2006-07,9,26147.69691165281,381729.01593198435,0,14.553769661399402
Mocrocks,2007,2007-08,10,26258.12835335542,391214.5950609147,5802.0229012229465,14.914800680818233
Mocrocks,2008,2008-09,23,51606.18649936468,753542.855238221,13069.70482475147,14.615727907665551
Mocrocks,2009,2009-10,21,44880.92363685377,582470.1097453391,10590.75853352695,13.002952668362255
Mocrocks,2010,2010-11,20,48301.21615600839,666301.5868180179,15151.006957990712,13.815347323557823
Mocrocks,2011,2011-12,20,54291.16569629098,715326.7008898695,8517.211416646574,13.462215508010363
Mocrocks,2012,2012-13,29,51783.31309994928,753851.8898731953,10876.596807259833,13.654029675412145
Mocrocks,2013,2013-14,53,73458.27336039922,993493.9230714326,15716.104085531682,14.09121506021662
Mocrocks,2014,2014-15,40,57425.47199171274,802586.5667279684,4064.911615739229,13.05167768184478
Mocrocks,2015,2015-16,26,71417.17105196364,974572.3047264264,9919.296915021376,13.839221841266838
Mocrocks,2016,2016-17,33,57957.62014480519,686628.0877667265,6423.370843549183,10.971478356371172
Mocrocks,2017,2017-18,20,63215.26620598948,771322.3849546654,9072.951490509466,11.79243095980821
Mocrocks,2018,2018-19,33,79371.75840151512,1090580.2547633888,26453.435612383415,12.447262871576424
Mocrocks,2019,2019-20,31,34959.93241650246,454843.2090305031,2069.0544646316343,10.919798627699882
Mocrocks,2020,2020-21,12,43182.09281667837,647731.3922501756,11030.594032840028,15
Mocrocks,2021,2021-22,51,74862.5790632963,1232441.3293986488,3558.51606194255,15.62465564961082
Mocrocks,2022,2022-23,27,58525.10828363182,902391.5483100102,5203.345300567309,14.733162129696169
Mocrocks,2023,2023-24,53,60278.38216832439,767090.0298486545,4404.833807682499,11.42077396691251
Mocrocks,2024,2024-25,56,51712.397654414555,608375.9887593735,4589.517913477005,10.549484536230826
Mocrocks,2025,2025-26,52,38562.77190531519,411194.61006816674,2968.707689448789,8.4770155918492
Twin Harbors,2005,2005-06,4,5735.056418758088,66297.5847925473,0,11.731011979259788
Twin Harbors,2006,2006-07,1,2554.2019936857732,36810.55814429496,0,14.411764705882353
Twin Harbors,2007,2007-08,35,72078.55190878002,840400.7326929568,15219.67773636331,10.748190292954344
Twin Harbors,2008,2008-09,21,34229.915007306,475335.00008190906,10633.619288768778,13.40495199648902
Twin Harbors,2009,2009-10,36,62025.95211622163,856538.9706257464,11273.468222170935,13.086327386002381
Twin Harbors,2010,2010-11,39,64518.975634427115,768005.4908618636,22384.792429387988,12.252655803797182
Twin Harbors,2011,2011-12,22,49062.19930564235,664452.6523493711,17523.414209395316,12.974354460811096
Twin Harbors,2012,2012-13,68,93763.06852083407,1317374.5681788104,41263.58441990488,13.510494243640421
Twin Harbors,2013,2013-14,91,102031.24222803688,1451150.8305027916,39643.632620990764,13.959918245918299
Twin Harbors,2014,2014-15,77,95855.8250383599,1301702.4562326982,31216.41375099736,12.788011065940843
Twin Harbors,2016,2016-17,41,58371.68885505781,769865.661197751,6572.479495188756,12.810713420603632
Twin Harbors,2017,2017-18,17,54895.69950917085,611865.7159221561,3691.2479410545056,11.569086961708228
Twin Harbors,2018,2018-19,45,68116.66878646644,762835.9935464732,904.856075587783,9.936112134333753
Twin Harbors,2019,2019-20,26,22106.94648815348,275398.61903973756,2437.928605812376,11.318870004409835
Twin Harbors,2020,2020-21,6,15440.907805730205,231726.59262199575,4702.767078043751,15.006060606060606
Twin Harbors,2021,2021-22,65,87986.8693696485,1509730.8291147056,2187.4852598466405,16.818003913279945
Twin Harbors,2022,2022-23,26,56353.08224363849,889865.6226115599,3513.502721292039,15.120955002094183
Twin Harbors,2023,2023-24,41,58456.82911341247,711378.9717849324,6853.4967694160805,10.406474972319154
Twin Harbors,2024,2024-25,56,57205.37676510468,743996.5181428227,7098.726979625715,11.857252695933783
Twin Harbors,2025,2025-26,52,53636.7802215674,693203.8629816264,6613.782436010138,11.380640038406648
