target,donor,single_day_imp_sd,u1_ratio_floor,cf_single
Long Beach,Copalis,0.61509280771208,0.3854757068129988,0.0558581876194811
Long Beach,Mocrocks,0.641130184302258,0.5089579837332144,0.0558581876194811
Long Beach,Copalis+Mocrocks,0.425059856739565,0.3973930455302066,0.0558581876194811
Twin Harbors,Copalis,0.445967245794639,0.31229930433973935,0.0513659278768236
Twin Harbors,Mocrocks,0.531879195876539,0.41701180244566727,0.0513659278768236
Twin Harbors,Copalis+Mocrocks,0.36814315695286,0.3041295885863457,0.0513659278768236
