target,m_counted,crew_days,cv_eff,cv_harv
Long Beach,1,2,0.07425261863349128,0.16183702920944826
Long Beach,8,16,0.06595088394177952,0.13011768626924816
Long Beach,15,30,0.06395048545763915,0.11261491387088382
Long Beach,21,42,0.061159159918490844,0.09817733062604406
Long Beach,28,56,0.0597467560078952,0.08609665423294668
Long Beach,35,70,0.05907562535145123,0.08095527333163613
Long Beach,42,84,0.06001600187157697,0.07375043684026479
Long Beach,49,98,0.05751818774962743,0.06686611628240284
Long Beach,55,110,0.05665607699732018,0.06358376593890866
Long Beach,62,124,0.05651334946359928,0.06203452822914072
Long Beach,69,138,0.05566449490791322,0.06156409393744302
Long Beach,76,152,0.05753453550732076,0.06276545848586734
Long Beach,83,166,0.05727207540616601,0.06302601018379446
Long Beach,89,178,0.056999518052512736,0.06269132735752057
Long Beach,96,192,0.05671100423714919,0.062467205509047864
Long Beach,103,206,0.05690504262713544,0.06165665224396037
Twin Harbors,1,1,0.060879098426315156,0.15751557873781802
Twin Harbors,8,8,0.05797229400125807,0.1320967506620104
Twin Harbors,15,15,0.05546910573428113,0.11035135927048469
Twin Harbors,21,21,0.055712019380012905,0.09588313854394136
Twin Harbors,28,28,0.0535124822540122,0.0837307019090855
Twin Harbors,35,35,0.05443031199953277,0.07616347582041375
Twin Harbors,42,42,0.05146550438369714,0.06740611864274461
Twin Harbors,49,49,0.05352114293420515,0.06500186634060046
Twin Harbors,55,55,0.051011490344893815,0.05962133855970479
Twin Harbors,62,62,0.05137464757525401,0.05836449195524981
Twin Harbors,69,69,0.05375596028454279,0.059901539957416226
Twin Harbors,76,76,0.051666637490557554,0.05694567566044334
Twin Harbors,83,83,0.05237776979630577,0.058042620202648394
Twin Harbors,89,89,0.053702002908276404,0.05884206819732072
Twin Harbors,96,96,0.052043260905435054,0.05697326319665591
Twin Harbors,103,103,0.0517430513175435,0.056957920779219705
