target,donor,cf_model,m_counted,pct_counted,imputed_share,imputed_eff_share,cv_eff,cv_harv,cf_lab
Long Beach,Copalis,single,1,0.009708737864077669,0.9902912621359223,0.9413213339360018,0.07425261863349128,0.16183702920944826,One operational table (current)
Long Beach,Copalis,single,8,0.07766990291262135,0.9223300970873787,0.7154784309771771,0.06595088394177952,0.13011768626924816,One operational table (current)
Long Beach,Copalis,single,15,0.14563106796116504,0.854368932038835,0.5570417763641223,0.06395048545763915,0.11261491387088382,One operational table (current)
Long Beach,Copalis,single,21,0.20388349514563106,0.7961165048543689,0.45181469171520766,0.061159159918490844,0.09817733062604406,One operational table (current)
Long Beach,Copalis,single,28,0.27184466019417475,0.7281553398058253,0.3579140789735236,0.0597467560078952,0.08609665423294668,One operational table (current)
Long Beach,Copalis,single,35,0.33980582524271846,0.6601941747572815,0.283440438570392,0.05907562535145123,0.08095527333163613,One operational table (current)
Long Beach,Copalis,single,42,0.4077669902912621,0.5922330097087378,0.21709216539368892,0.06001600187157697,0.07375043684026479,One operational table (current)
Long Beach,Copalis,single,49,0.47572815533980584,0.5242718446601942,0.15846771936281262,0.05751818774962743,0.06686611628240284,One operational table (current)
Long Beach,Copalis,single,55,0.5339805825242718,0.46601941747572817,0.11726349856966539,0.05665607699732018,0.06358376593890866,One operational table (current)
Long Beach,Copalis,single,62,0.6019417475728155,0.3980582524271845,0.08010965152620107,0.05651334946359928,0.06203452822914072,One operational table (current)
Long Beach,Copalis,single,69,0.6699029126213593,0.33009708737864074,0.05353254654822651,0.05566449490791322,0.06156409393744302,One operational table (current)
Long Beach,Copalis,single,76,0.7378640776699029,0.2621359223300971,0.0333656986958377,0.05753453550732076,0.06276545848586734,One operational table (current)
Long Beach,Copalis,single,83,0.8058252427184466,0.19417475728155342,0.018970613794528357,0.05727207540616601,0.06302601018379446,One operational table (current)
Long Beach,Copalis,single,89,0.8640776699029126,0.13592233009708743,0.009856089387978644,0.056999518052512736,0.06269132735752057,One operational table (current)
Long Beach,Copalis,single,96,0.9320388349514563,0.06796116504854366,0.003075127494966346,0.05671100423714919,0.062467205509047864,One operational table (current)
Long Beach,Copalis,single,103,1,0,0,0.05690504262713544,0.06165665224396037,One operational table (current)
Long Beach,Copalis,condition,1,0.009708737864077669,0.9902912621359223,0.9413213339360018,0.09856359180025438,0.17254616049261398,Separate daylight / evening tables
Long Beach,Copalis,condition,8,0.07766990291262135,0.9223300970873787,0.7154784309771771,0.09160271493746291,0.1478776290835188,Separate daylight / evening tables
Long Beach,Copalis,condition,15,0.14563106796116504,0.854368932038835,0.5570417763641223,0.0901745404926362,0.1306909103934571,Separate daylight / evening tables
Long Beach,Copalis,condition,21,0.20388349514563106,0.7961165048543689,0.45181469171520766,0.09198621742031969,0.12091549476204685,Separate daylight / evening tables
Long Beach,Copalis,condition,28,0.27184466019417475,0.7281553398058253,0.3579140789735236,0.08976961810301634,0.10879552204145383,Separate daylight / evening tables
Long Beach,Copalis,condition,35,0.33980582524271846,0.6601941747572815,0.283440438570392,0.08853117254614379,0.1030151163982158,Separate daylight / evening tables
Long Beach,Copalis,condition,42,0.4077669902912621,0.5922330097087378,0.21709216539368892,0.09065333498415513,0.10251757082933115,Separate daylight / evening tables
Long Beach,Copalis,condition,49,0.47572815533980584,0.5242718446601942,0.15846771936281262,0.08946704325494773,0.09568090097597313,Separate daylight / evening tables
Long Beach,Copalis,condition,55,0.5339805825242718,0.46601941747572817,0.11726349856966539,0.08627486489134496,0.09178619478123823,Separate daylight / evening tables
Long Beach,Copalis,condition,62,0.6019417475728155,0.3980582524271845,0.08010965152620107,0.08709143938656289,0.0911040128765934,Separate daylight / evening tables
Long Beach,Copalis,condition,69,0.6699029126213593,0.33009708737864074,0.05353254654822651,0.08712117161294446,0.0917378365568603,Separate daylight / evening tables
