pair,season_level_sd
Long Beach <- Copalis,0.16431459289588013
Long Beach <- Mocrocks,0.17880400738532543
Twin Harbors <- Copalis,0.13318678077790605
Twin Harbors <- Mocrocks,0.16491040105903967
