beach,condition,window start (min before low),window end,surveys,surveys at window,correction factor,bootstrap sd,relative sd,95% low,95% high,modal window
Copalis,Daylight,75,45,7,7,0.623102174805088,0.0220948758926109,0.0354594748437885,0.58051341890315,0.667603474706183,
Copalis,Daylight,75,30,7,7,0.623444125290658,0.0274730129683168,0.0440665199235112,0.570216653615244,0.67733205985355,
Copalis,Daylight,90,60,7,7,0.557037340993024,0.0208860750033411,0.0374949280170478,0.5178742549174,0.600959232613909,
Copalis,Daylight,90,45,7,7,0.586239912460676,0.0193033596077586,0.0329274059944758,0.552580570684969,0.626948215183509,
Copalis,Daylight,105,75,7,7,0.451990151826016,0.0299125123246137,0.0661795665320777,0.39399340387278,0.511473962930274,YES
Copalis,Daylight,105,60,7,7,0.501846532622076,0.0235790065043638,0.0469844961988018,0.456587383112941,0.549707004160888,
Copalis,Daylight,120,90,7,7,0.332375871973738,0.0360706975910918,0.108523814851223,0.26278118609407,0.402912621359223,
Copalis,Daylight,120,75,7,7,0.392422377239776,0.0320474525591296,0.0816657112791204,0.330606680299932,0.455106138841079,
Copalis,Daylight,135,90,7,7,0.283271782245931,0.036053802356952,0.127276363607763,0.212540986588097,0.355075939248601,
Copalis,Daylight,150,120,7,7,0.146081247435371,0.0344685260161442,0.235954488486919,0.0823598130841122,0.217692447574413,
Copalis,Daylight,180,150,7,7,0.0449322938038572,0.0167973456372509,0.373836815689319,0.0165680473372781,0.0813815005954744,
Copalis,Evening,75,45,6,6,0.510394265232975,0.0401932970207881,0.0787495075056172,0.426385296934866,0.583108715184187,
Copalis,Evening,75,30,6,6,0.470489844683393,0.0402378192114346,0.0855232470288745,0.394157401351646,0.551027170311465,
Copalis,Evening,90,60,6,6,0.546953405017921,0.0402016947257089,0.0735011325587993,0.453466743516048,0.6048435342844,
Copalis,Evening,90,45,6,6,0.521624850657109,0.0385722185994024,0.0739462825645896,0.434228369948468,0.584824387011266,
Copalis,Evening,105,75,6,6,0.538351254480287,0.044707334315856,0.0830449152737937,0.431167400881057,0.608034083992696,YES
Copalis,Evening,105,60,6,6,0.542174432497013,0.0419567115721301,0.0773860017317604,0.441341920414062,0.602244389027432,
Copalis,Evening,120,90,6,6,0.51505376344086,0.0485295892390124,0.0942223757667672,0.396676300578035,0.592460317460318,
Copalis,Evening,120,75,6,6,0.524731182795699,0.0448401989923473,0.0854536579157439,0.413697873515603,0.595112021608454,
Copalis,Evening,135,90,6,6,0.484826762246117,0.0467613083621563,0.0964495197119883,0.368942731277533,0.555362988638552,
Copalis,Evening,150,120,6,6,0.373476702508961,0.0400761675600212,0.10730566937856,0.275462962962963,0.428927680798005,
Copalis,Evening,180,150,6,5,0.197132616487455,0.0238653849730362,0.121062589226856,0.137745974955277,0.230769230769231,
Long Beach,Daylight,75,45,3,3,0.536988110964333,0.043287356195232,0.0806113865677507,0.329268292682927,0.556660039761431,
Long Beach,Daylight,75,30,3,3,0.494936151475121,0.0328462465488114,0.0663646138010237,0.33739837398374,0.506295559973492,
Long Beach,Daylight,90,60,3,3,0.55217965653897,0.0558010555505816,0.1010559785928,0.292682926829268,0.577502691065662,
Long Beach,Daylight,90,45,3,3,0.539189784236019,0.0484424204249924,0.0898429863496592,0.308943089430894,0.555794761392178,
Long Beach,Daylight,105,75,3,3,0.516842800528402,0.0711874976676971,0.137735299001781,0.225609756097561,0.568353067814855,
Long Beach,Daylight,105,60,3,3,0.531483927785117,0.0633101050034603,0.119119509911233,0.25609756097561,0.571223537854324,
Long Beach,Daylight,120,90,3,3,0.4389035667107,0.0807390898850191,0.183956331205296,0.164634146341463,0.510764262648009,YES
Long Beach,Daylight,120,75,3,3,0.473800088066931,0.0729686651263606,0.154007284853127,0.199186991869919,0.53318980983136,
Long Beach,Daylight,135,90,3,3,0.378467635402906,0.0742952892370013,0.196305528629703,0.166666666666667,0.450663796196627,
Long Beach,Daylight,150,120,3,3,0.205085865257596,0.0544264378731214,0.265383661642209,0.101391650099404,0.263724434876211,
Long Beach,Daylight,180,150,3,3,0.0455746367239102,0.021498058735162,0.471711027899063,0.00695825049701789,0.109756097560976,
Long Beach,Evening,75,45,4,4,0.643267160966276,0.0940221025523217,0.14616338009714,0.394219653179191,0.731196901549226,
Long Beach,Evening,75,30,4,4,0.622897233516703,0.111208018208511,0.178533491922354,0.348747591522158,0.735010162601626,
Long Beach,Evening,90,60,4,4,0.666108586462569,0.0494586685402781,0.0742501591263565,0.515606936416185,0.705367913148371,
Long Beach,Evening,90,45,4,4,0.654787530893726,0.0690621425792788,0.105472598852051,0.461271676300578,0.717974346160253,
Long Beach,Evening,105,75,4,4,0.664673523080603,0.0245269221897353,0.0369007058925092,0.633322864321608,0.726221079691517,
Long Beach,Evening,105,60,4,4,0.661245316112573,0.0280597500555013,0.0424347052020922,0.574181117533719,0.695564005069708,
Long Beach,Evening,120,90,4,4,0.635374312365463,0.0566259724173851,0.0891222249866693,0.565167682926829,0.753692999357739,YES
Long Beach,Evening,120,75,4,4,0.649525631826517,0.0365979721464842,0.0563456934618082,0.60302337398374,0.727895525583387,
Long Beach,Evening,135,90,4,4,0.601132105556884,0.0698641782028334,0.1162210062597,0.516514227642276,0.766748566748567,
Long Beach,Evening,150,120,4,4,0.48564936618034,0.105916613265805,0.218092765360419,0.366615853658537,0.753025302530253,
Long Beach,Evening,180,150,4,3,0.288447739775173,0.104623910728959,0.362713574426017,0.186166158536585,0.555491329479769,
Mocrocks,Daylight,75,45,8,8,0.649577529116237,0.0265859921257805,0.0409281277970795,0.59740092640247,0.688126667423015,
Mocrocks,Daylight,75,30,8,8,0.646418512598006,0.02068113411032,0.0319934124831929,0.601733021522549,0.676429030186256,
Mocrocks,Daylight,90,60,8,8,0.619091116693309,0.0332209026413066,0.0536607645393883,0.544636336276084,0.664201183431953,YES
Mocrocks,Daylight,90,45,8,8,0.632260028925934,0.0288152737571991,0.0455750362808,0.572702337209082,0.672816801528599,
Mocrocks,Daylight,105,75,8,8,0.555834665448733,0.0386169992983054,0.0694756943004434,0.461069418386492,0.603083828000579,
Mocrocks,Daylight,105,60,8,8,0.584075511912918,0.0350825321955133,0.0600650626159858,0.501595635042826,0.629080980816173,
Mocrocks,Daylight,120,90,8,8,0.463918702900206,0.0417572854958742,0.0900099203477395,0.354467060062057,0.512625135248229,
Mocrocks,Daylight,120,75,8,8,0.508487478115247,0.0396761818087553,0.0780278443744937,0.406948151093681,0.555574243614336,
Mocrocks,Daylight,135,90,8,7,0.407475070411814,0.0399984771025852,0.0981617772644614,0.300270513976556,0.453212370192856,
Mocrocks,Daylight,150,120,8,7,0.271751541447819,0.0416070585127664,0.153106982544037,0.160275026072289,0.318223303924551,
Mocrocks,Daylight,180,150,8,7,0.192966430691939,0.066713740013432,0.345727180495643,0.0563850712174682,0.282748747315677,
Mocrocks,Evening,75,45,6,6,0.535326086956522,0.0486421168087249,0.0908644618558923,0.42772667542707,0.6206652512385,
Mocrocks,Evening,75,30,6,6,0.493357487922705,0.0457703070351131,0.0927731070381239,0.391269841269841,0.573956121726822,
Mocrocks,Evening,90,60,6,6,0.589673913043478,0.0388220266414796,0.0658364322767949,0.506958250497018,0.657525462834011,YES
Mocrocks,Evening,90,45,6,6,0.560386473429952,0.043051432435095,0.0768245389143506,0.465871438038436,0.634894991922456,
Mocrocks,Evening,105,75,6,6,0.601902173913044,0.0222912220798307,0.0370346262996736,0.551435406698565,0.637893982808023,
Mocrocks,Evening,105,60,6,6,0.590881642512077,0.0290096572576573,0.0490955466721312,0.528708133971292,0.64003164556962,
Mocrocks,Evening,120,90,6,6,0.565670289855073,0.0207391660289859,0.0366629932682152,0.519807280513919,0.605304212168487,
Mocrocks,Evening,120,75,6,6,0.580615942028986,0.0193476535924701,0.0333226358285289,0.53551912568306,0.610910642322559,
Mocrocks,Evening,135,90,6,6,0.533514492753623,0.0274371029221867,0.0514270995349645,0.479725085910653,0.588260051495346,
Mocrocks,Evening,150,120,6,6,0.425271739130435,0.0478206594050511,0.112447301348619,0.342522096841457,0.524733268671193,
Mocrocks,Evening,180,150,6,6,0.226449275362319,0.0434824290593644,0.192018406726153,0.153692191372286,0.3224043715847,
Twin Harbors,Daylight,75,45,5,5,0.57849585358879,0.0433812355158726,0.074989708650028,0.453905031124419,0.614430147058824,
Twin Harbors,Daylight,75,30,5,5,0.573348584501001,0.0407371237276115,0.0710512327558391,0.455017309109237,0.607781862745098,
Twin Harbors,Daylight,90,60,5,5,0.545896482699457,0.0536535109189849,0.0982851376027711,0.403796653796654,0.589282350725184,
Twin Harbors,Daylight,90,45,5,5,0.558859975216853,0.0477894939659153,0.0855124648126246,0.426640926640927,0.598041062346958,
Twin Harbors,Daylight,105,75,5,5,0.476122390620532,0.0577995052112702,0.12139631815244,0.316724738675958,0.521166935991562,
Twin Harbors,Daylight,105,60,5,5,0.508149842722333,0.0544773079085905,0.107207172625966,0.366820040899796,0.551390720160733,
Twin Harbors,Daylight,120,90,5,5,0.380611953102659,0.0558749819499482,0.146803014184049,0.220746590093324,0.4238763496965,YES
Twin Harbors,Daylight,120,75,5,5,0.426937374892765,0.0564949774133909,0.132326146024533,0.268989547038328,0.470280173276643,
Twin Harbors,Daylight,135,90,5,4,0.327232866266324,0.0509681859670134,0.155755094372251,0.189997607083034,0.368867608315448,
Twin Harbors,Daylight,150,120,5,4,0.210466113811839,0.0487413787682796,0.231587773848742,0.0894614939200926,0.251774530271399,
Twin Harbors,Daylight,180,150,5,4,0.175007148984844,0.0760389115620939,0.434490316556605,0.025030525030525,0.242531003382187,
Twin Harbors,Evening,75,45,3,3,0.451357466063348,0.0719202203465057,0.159342042070955,0.299132947976879,0.563139931740614,
Twin Harbors,Evening,75,30,3,3,0.41289592760181,0.0763288700088809,0.184862249555755,0.250481695568401,0.51877133105802,
Twin Harbors,Evening,90,60,3,3,0.5,0.0378980494467407,0.0757960988934813,0.429190751445087,0.581911262798635,
Twin Harbors,Evening,90,45,3,3,0.473981900452489,0.055208099380532,0.116477231151289,0.360308285163776,0.574516496018203,
Twin Harbors,Evening,105,75,3,3,0.528280542986425,0.0260157865273126,0.0492461569382106,0.46530612244898,0.581911262798635,
Twin Harbors,Evening,105,60,3,3,0.512443438914027,0.0264334319569758,0.0515831210816039,0.476878612716763,0.57679180887372,
Twin Harbors,Evening,120,90,3,3,0.531108597285068,0.0269439704310296,0.0507315651992122,0.459183673469388,0.573699421965318,YES
Twin Harbors,Evening,120,75,3,3,0.527149321266968,0.0223237345821044,0.0423480286922324,0.46530612244898,0.559726962457338,
Twin Harbors,Evening,135,90,3,3,0.498491704374057,0.0221144809079697,0.044362786208726,0.438095238095238,0.530828516377649,
Twin Harbors,Evening,150,120,3,3,0.384049773755656,0.0102921433734654,0.0267989830401867,0.363265306122449,0.407849829351536,
Twin Harbors,Evening,180,150,3,3,0.201923076923077,0.024551372368178,0.121587748870977,0.15028901734104,0.244897959183674,
