level,target,donor,group size,imputed-value tercile,n,mean multiplier,median,sd
tide-series sum,Long Beach,Twin Harbors,3-4,mid,12,1.14154920303631,1.04383424172426,0.282886598713901
tide-series sum,Long Beach,Twin Harbors,3-4,large,16,0.89331872247967,0.910775534010248,0.128522639556594
tide-series sum,Long Beach,Twin Harbors,5+,large,10,1.02418749109572,0.96326228362399,0.183486060592431
tide-series sum,Mocrocks,Copalis,2,small,20,0.974388188848225,0.969177707173833,0.112999552850841
tide-series sum,Mocrocks,Copalis,2,mid,18,0.983708751407183,0.993017375921773,0.0906118653983305
tide-series sum,Mocrocks,Copalis,3-4,large,10,0.902792937415614,0.904280866122902,0.093142623328166
tide-series sum,Mocrocks,Long Beach,2,small,28,0.960436797902242,1.0086846989246,0.165709050640732
tide-series sum,Mocrocks,Long Beach,2,mid,31,0.884814344206994,0.967342079187359,0.220577376982575
tide-series sum,Mocrocks,Long Beach,2,large,14,0.801515870787166,0.842877616285316,0.245283204907618
tide-series sum,Mocrocks,Long Beach,3-4,mid,12,0.926306770333161,0.933950610219773,0.148352598244737
tide-series sum,Mocrocks,Long Beach,3-4,large,10,0.877408037507157,0.887488767539804,0.204943337122116
tide-series sum,Mocrocks,Twin Harbors,2,small,42,1.03425543558975,0.999167146693944,0.224872094918201
tide-series sum,Mocrocks,Twin Harbors,2,mid,28,0.970661413791678,0.998102195297573,0.202517830475719
tide-series sum,Mocrocks,Twin Harbors,2,large,14,0.795434780836744,0.817185742121348,0.216105211121316
tide-series sum,Mocrocks,Twin Harbors,3-4,mid,11,0.895130946083984,0.936373534218818,0.166984973098856
tide-series sum,Twin Harbors,Copalis,2,small,35,1.11394195217186,0.997850165028731,0.500215377372891
tide-series sum,Twin Harbors,Copalis,2,mid,29,0.938665595793477,0.950461045662276,0.111395847620906
tide-series sum,Twin Harbors,Copalis,3-4,mid,10,1.04733546170727,1.03875425892264,0.191078994765391
tide-series sum,Twin Harbors,Copalis+Mocrocks,2,small,11,0.997049399512554,1.00039465496258,0.0511419700614128
tide-series sum,Twin Harbors,Copalis+Mocrocks,2,mid,15,0.972964564859463,0.977624884721109,0.0967069748996395
tide-series sum,Twin Harbors,Long Beach,2,small,29,0.97884002748671,0.992059066337089,0.211002141133107
tide-series sum,Twin Harbors,Long Beach,2,mid,27,0.9371745354461,1.00031263347374,0.18994997642439
tide-series sum,Twin Harbors,Long Beach,3-4,small,12,1.03782198997141,1.06306078971318,0.119568768962686
tide-series sum,Twin Harbors,Long Beach,3-4,mid,17,0.98300480524956,0.983566047717917,0.164807182041493
tide-series sum,Twin Harbors,Long Beach,3-4,large,12,0.899052686296456,0.930670210549832,0.286179410656249
tide-series sum,Twin Harbors,Mocrocks,2,small,46,1.00704642696099,0.99777548771889,0.210376019582423
tide-series sum,Twin Harbors,Mocrocks,2,mid,33,0.963142169748923,0.98329807810593,0.182295729246204
tide-series sum,Twin Harbors,Mocrocks,3-4,mid,16,0.994454818805862,1.0170925622368,0.184448121584558
Long Beach half,Long Beach,other section,1,small,48,1.272803360369,1.2282358772495,0.226843568542041
Long Beach half,Long Beach,other section,1,large,48,0.809462630798994,0.818023311069001,0.126137294090531
