beach,min before low,operational,rebuilt DAYLIGHT,rebuilt EVENING,daylight / evening,operational / daylight,operational / evening
Copalis,180,0.1433,0.0324169060320066,0.163440860215054,0.198340280327409,4.42053291139241,0.876769736842105
Copalis,165,0.2172,0.0574476815757078,0.230824372759857,0.24888048384507,3.78083142857143,0.940975155279503
Copalis,150,0.291,0.107098892080427,0.32258064516129,0.332006565449323,2.71711494252874,0.9021
Copalis,135,0.3917,0.185063602790316,0.424372759856631,0.436087374818397,2.11656962305987,0.923009290540541
Copalis,120,0.4829,0.273286828067296,0.497491039426523,0.549330151518556,1.76700795795796,0.970670749279539
Copalis,105,0.5414,0.391464915880181,0.532616487455197,0.734984599801954,1.38301027253669,1.01649125168237
Copalis,90,0.5473,0.512515387771851,0.544086021505376,0.94197492218937,1.06787037630104,1.00590711462451
Copalis,75,0.5379,0.601559294214198,0.549820788530466,1.09410067200627,0.89417619372442,0.978318774445893
Copalis,60,0.47,0.644645055395979,0.470967741935484,1.36876689844352,0.729083386378103,0.997945205479452
Copalis,45,0.3758,0.624128026261797,0.390681003584229,1.5975387094224,0.602120052596976,0.961910091743119
Copalis,30,0.3024,0.565038982355355,0.301075268817204,1.876736619966,0.53518431372549,1.0044
Copalis,15,0.232,0.489125974558884,0.224372759856631,2.17997039779439,0.474315436241611,1.03399361022364
Copalis,0,0.1884,0.407878539187526,0.16415770609319,2.48467494395894,0.461902213279678,1.1476768558952
Copalis,-15,0.1408,0.335248256052524,0.126881720430108,2.6422108316004,0.419987270501836,1.10969491525424
Copalis,-30,0.1041,0.261386951169471,0.103225806451613,2.53218608945425,0.398260125588697,1.00846875
Copalis,-45,0.0694,0.212146081247435,0.0817204301075269,2.5959980994752,0.327133075435203,0.849236842105263
Long Beach,180,0.1614,0.0198150594451783,0.244917483855537,0.0809050425198151,8.14532,0.6589974609375
Long Beach,165,0.2393,0.071334214002642,0.33197799569481,0.214876331948881,3.35463148148148,0.72083090778098
Long Beach,150,0.3485,0.152575957727873,0.438651040420952,0.347829923260762,2.28410822510823,0.79448118865867
Long Beach,135,0.4387,0.257595772787318,0.532647691939727,0.483613797047049,1.7030558974359,0.823621329142344
Long Beach,120,0.5185,0.387714663143989,0.619229849318345,0.626123988646203,1.33732367972743,0.837330436461954
Long Beach,105,0.5736,0.490092470277411,0.651518775412581,0.752230770275277,1.17039137466307,0.880404405286344
Long Beach,90,0.5888,0.543593130779392,0.677828270748625,0.801962907476584,1.08316306196841,0.868656598447424
Long Beach,75,0.5556,0.560766182298547,0.654388902176513,0.856931070244965,0.990787279151943,0.849036403508772
Long Beach,60,0.4862,0.513210039630119,0.632145419756039,0.811854398673298,0.947370398970399,0.769126825576996
Long Beach,45,0.4008,0.410832232496698,0.582157378617556,0.70570647660998,0.975580707395498,0.688473623664749
Long Beach,30,0.3086,0.315059445178336,0.526907438411863,0.597940780885439,0.979497693920335,0.585681615978212
Long Beach,15,0.2403,0.238441215323646,0.474766802200431,0.502228071167841,1.00779556786704,0.50614322418136
Long Beach,0,0.1703,0.186922060766182,0.420473570916049,0.444551271935955,0.911074911660778,0.405019510807736
Long Beach,-15,0.1023,0.127476882430647,0.348002870126764,0.366309859410678,0.802498445595855,0.293963092783505
Long Beach,-30,0.0691,0.0792602377807133,0.262377421669457,0.3020848260357,0.871811666666667,0.263361075660893
Long Beach,-45,0.0446,0.0574636723910172,0.174121023678546,0.33002144816874,0.776142528735632,0.256143681318681
Mocrocks,180,0.1477,0.181776661338205,0.181159420289855,1.00340717058689,0.812535552763819,0.815304
Mocrocks,165,0.202,0.204156200045673,0.271739130434783,0.751294816168075,0.989438478747204,0.74336
Mocrocks,150,0.28,0.248915277460607,0.381340579710145,0.652737449682923,1.12488073394495,0.734251781472684
Mocrocks,135,0.3621,0.294587805435031,0.469202898550725,0.627847369112498,1.22917511627907,0.771734362934363
Mocrocks,120,0.4463,0.413793103448276,0.53804347826087,0.769070010449321,1.07855833333333,0.829486868686869
Mocrocks,105,0.5052,0.514044302352135,0.593297101449275,0.86641970961337,0.982794669035984,0.851512671755725
Mocrocks,90,0.5449,0.59762502854533,0.610507246376812,0.978899156549027,0.911775735575086,0.89253649851632
Mocrocks,75,0.5506,0.640557204841288,0.568840579710145,1.12607508621781,0.859564135472371,0.967933757961784
Mocrocks,60,0.5098,0.658597853391185,0.501811594202899,1.31244048762431,0.774068723994452,1.01591913357401
Mocrocks,45,0.4638,0.640100479561544,0.409420289855073,1.56343125981404,0.724573742418837,1.13282123893805
Mocrocks,30,0.3817,0.593971226307376,0.308876811594203,1.92300361830893,0.642623721645521,1.23576774193548
Mocrocks,15,0.3011,0.50810687371546,0.240036231884058,2.1167924097429,0.592591865168539,1.25439396226415
Mocrocks,0,0.1942,0.427266499200731,0.16213768115942,2.63520790568495,0.454517263495457,1.19774748603352
Mocrocks,-15,0.1405,0.340945421329071,0.126811594202899,2.68859817962353,0.412089417280643,1.10794285714286
Mocrocks,-30,0.0692,0.266042475451016,0.107789855072464,2.46815876384808,0.260108841201717,0.641989915966386
Mocrocks,-45,0.0052,0.231331354190454,0.088768115942029,2.60601852067614,0.0224785784797631,0.0585795918367347
Twin Harbors,180,0.1686,0.170145839290821,0.168552036199095,1.0094558518999,0.99091462184874,1.00028456375839
Twin Harbors,165,0.2353,0.179868458678868,0.235294117647059,0.764440949385187,1.30817821939587,1.000025
Twin Harbors,150,0.3348,0.200457535030026,0.334841628959276,0.598663719481563,1.67017917261056,0.999875675675676
Twin Harbors,135,0.4333,0.220474692593652,0.433257918552036,0.508876313975948,1.96530492866407,1.00009712793734
Twin Harbors,120,0.5249,0.328567343437232,0.524886877828054,0.625977438789899,1.59754160139252,1.000025
Twin Harbors,105,0.5373,0.432656562768087,0.537330316742081,0.80519663470945,1.24186259087905,0.999943578947368
Twin Harbors,90,0.5192,0.519588218472977,0.519230769230769,1.00068842076277,0.999252834342323,0.999940740740741
Twin Harbors,75,0.4808,0.572204746925937,0.480769230769231,1.19018587360595,0.840258670664668,1.000064
Twin Harbors,60,0.4219,0.584786960251644,0.421945701357466,1.38592941786181,0.721459315403423,0.999891689008043
Twin Harbors,45,0.336,0.563054046325422,0.335972850678733,1.67589150488779,0.596745556119858,1.00008080808081
Twin Harbors,30,0.2704,0.512153274235059,0.270361990950226,1.89432424445101,0.527966945840313,1.00014058577406
Twin Harbors,15,0.1912,0.448384329425222,0.191176470588235,2.34539495391654,0.426419897959184,1.00012307692308
Twin Harbors,0,0.1346,0.366885902201887,0.134615384615385,2.72543813064259,0.366871551052221,0.999885714285714
Twin Harbors,-15,0.0962,0.289390906491278,0.0961538461538462,3.00966542750929,0.33242233201581,1.00048
Twin Harbors,-30,0.069,0.219044895624821,0.0690045248868778,3.17435553659577,0.315003916449086,0.999934426229508
Twin Harbors,-45,0.0566,0.160995138690306,0.0565610859728507,2.84639405204461,0.351563410301954,1.000688
