Beach,Condition,Bin,StartMinPriorLow,EndMinPriorLow,PctAvailable,SourceFile,Vintage
Copalis,Daylight (good weather),>3:00 (lead-in),,,0.0267,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),3:00 - 2:45,180,165,0.0882,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),2:45 - 2:30,165,150,0.1551,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),2:30 - 2:15,150,135,0.246,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),2:15 - 2:00,135,120,0.3369,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),2:00 - 1:45,120,105,0.3583,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),1:45 - 1:30,105,90,0.4465,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),1:30 - 1:15,90,75,0.5241,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),1:15 - 1:00,75,60,0.5455,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),1:00 - 0:45,60,45,0.5214,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),0:45 - 0:30,45,30,0.4679,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),0:30 - 0:15,30,15,0.3342,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),0:15 - 0:00,15,0,0.2647,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),0:00 - 0:15,0,-15,0.2086,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),0:15 - 0:30,-15,-30,0.1658,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),0:30 - 0:45,-30,-45,0.1096,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),0:45 - 1:00,-45,-60,0.0535,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),1:00 - 1:15,-60,-75,0.016,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Daylight (good weather),1:15 - 1:30,-75,-90,0.015,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Evening (near dark),3:30 - 3:15,210,195,0.0407,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),3:15 - 3:00,195,180,0.1001,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),3:00 - 2:45,180,165,0.1478,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),2:45 - 2:30,165,150,0.2305,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),2:30 - 2:15,150,135,0.3248,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),2:15 - 2:00,135,120,0.4121,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),2:00 - 1:45,120,105,0.4703,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),1:45 - 1:30,105,90,0.4948,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),1:30 - 1:15,90,75,0.5099,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),1:15 - 1:00,75,60,0.5204,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),1:00 - 0:45,60,45,0.4505,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),0:45 - 0:30,45,30,0.3644,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),0:30 - 0:15,30,15,0.2771,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),0:15 - 0:00,15,0,0.2061,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),0:00 - 0:15,0,-15,0.1618,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),0:15 - 0:30,-15,-30,0.1246,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),0:30 - 0:45,-30,-45,0.0955,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),0:45 - 1:00,-45,-60,0.0605,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Evening (near dark),1:00 - 1:15,-60,-75,0.0605,Copalis_Evening_Tides_Cumulative_Ingress.pdf,2012-12-19 (evening-tide ingress PDF)
Copalis,Near dark,>3:00 (lead-in),,,0.0693,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,3:00 - 2:45,180,165,0.0866,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,2:45 - 2:30,165,150,0.1472,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,2:30 - 2:15,150,135,0.2554,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,2:15 - 2:00,135,120,0.3247,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,2:00 - 1:45,120,105,0.3506,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,1:45 - 1:30,105,90,0.3377,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,1:30 - 1:15,90,75,0.3506,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,1:15 - 1:00,75,60,0.3506,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,1:00 - 0:45,60,45,0.2944,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,0:45 - 0:30,45,30,0.2684,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,0:30 - 0:15,30,15,0.2294,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,0:15 - 0:00,15,0,0.1861,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,0:00 - 0:15,0,-15,0.1299,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,0:15 - 0:30,-15,-30,0.0736,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,0:30 - 0:45,-30,-45,0.0649,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Copalis,Near dark,0:45 - 1:00,-45,-60,0.0346,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Kalaloch,Daylight,2:00 - 1:45,120,105,0.483,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Kalaloch,Daylight,1:45 - 1:30,105,90,0.587,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Kalaloch,Daylight,1:30 - 1:15,90,75,0.67,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
Kalaloch,Daylight,1:15 - 1:00,75,60,0.707,Master_Tables.xls,"2012-2013 (Master_Tables.xls, undated)"
