beach,condition,bin_ord,bin,min before low,n_surveys,n_at_bin,full coverage,pooled_pct,survey_mean_pct,survey_sd_pct,bootstrap sd,boot 2.5%,boot 97.5%
Copalis,Daylight,0,Prior to start,,7,7,yes,0.0139515798112433,0.0148266435733736,0.0134361962116818,0.00484273457306121,0.00500625782227785,0.0237041581458759
Copalis,Daylight,1,3:30 - 3:15,210,7,0,no,0.0139515798112433,0.0148266435733736,0.0134361962116818,0.00484273457306121,0.00500625782227785,0.0237041581458759
Copalis,Daylight,2,3:15 - 3:00,195,7,0,no,0.0139515798112433,0.0148266435733736,0.0134361962116818,0.00484273457306121,0.00500625782227785,0.0237041581458759
Copalis,Daylight,3,3:00 - 2:45,180,7,7,yes,0.0324169060320066,0.0345152659888017,0.0331212952432296,0.0121335544562486,0.012190749372535,0.0587288728817782
Copalis,Daylight,4,2:45 - 2:30,165,7,7,yes,0.0574476815757078,0.0606428325898386,0.0590062985483472,0.0214776266092725,0.0212326776562657,0.103901611535199
Copalis,Daylight,5,2:30 - 2:15,150,7,7,yes,0.107098892080427,0.109665335460265,0.0846237979692941,0.0306194037159064,0.0530941047235445,0.172209567198178
Copalis,Daylight,6,2:15 - 2:00,135,7,7,yes,0.185063602790316,0.190912802684703,0.106272109854287,0.0389427927926976,0.11214953271028,0.266190263510496
Copalis,Daylight,7,2:00 - 1:45,120,7,7,yes,0.273286828067296,0.285545676395783,0.106911463754826,0.03798600108435,0.19921568627451,0.34908933217693
Copalis,Daylight,8,1:45 - 1:30,105,7,7,yes,0.391464915880181,0.405338188908266,0.101152905858034,0.0346352206926257,0.327872461038611,0.460843373493976
Copalis,Daylight,9,1:30 - 1:15,90,7,7,yes,0.512515387771851,0.52450790116913,0.0779958183730779,0.0265340052842806,0.460091931061003,0.563569694868239
Copalis,Daylight,10,1:15 - 1:00,75,7,7,yes,0.601559294214198,0.610953693868957,0.0678254183793496,0.0199380153742547,0.567630740190061,0.643328651627422
Copalis,Daylight,11,1:00 - 0:45,60,7,7,yes,0.644645055395979,0.650923610283821,0.0885935256561464,0.0271624808746922,0.589251439539347,0.69606426260922
Copalis,Daylight,12,0:45 - 0:30,45,7,7,yes,0.624128026261797,0.629423034722921,0.133908753969652,0.0421123759624249,0.536893599673869,0.704834605597964
Copalis,Daylight,13,0:30 - 0:15,30,7,7,yes,0.565038982355355,0.569079948919339,0.154258413843973,0.052348167626392,0.457840819542947,0.660456450861668
Copalis,Daylight,14,0:15 - 0:00,15,7,7,yes,0.489125974558884,0.49073150673288,0.151997954791998,0.0524420264590226,0.38123543602478,0.583967305596682
Copalis,Daylight,15,0:00 - 0:15,0,7,7,yes,0.407878539187526,0.407386692432533,0.142265297369161,0.049951692193047,0.306539509536785,0.498733108108108
Copalis,Daylight,16,0:15 - 0:30,-15,7,7,yes,0.335248256052524,0.331958918281372,0.131390754735651,0.0475764589764761,0.239395412683054,0.419998576464178
Copalis,Daylight,17,0:30 - 0:45,-30,7,7,yes,0.261386951169471,0.25710067537456,0.12392886439381,0.0443834476386187,0.171218915613534,0.342900880214313
Copalis,Daylight,18,0:45 - 1:00,-45,7,7,yes,0.212146081247435,0.20524714184375,0.125051946981863,0.0453201088876541,0.119131751640586,0.296359808791355
Copalis,Daylight,19,1:00 - 1:15,-60,7,1,no,0.206401313089865,0.0160427807486631,,0.0486648061447699,0.106605922551253,0.296359808791355
Copalis,Daylight,20,1:15 - 1:30,-75,7,0,no,0.206401313089865,,,0.0486648061447699,0.106605922551253,0.296359808791355
