beach,order_n_to_s,color_hex,boundary,has_expansion_table
Long Beach,1,#2166AC,Cape Disappointment to Leadbetter Point,yes
Twin Harbors,2,#66BD63,Cape Shoalwater to Grays Harbor south jetty,yes
Copalis,3,#F46D43,Grays Harbor north jetty to Copalis River,yes
Mocrocks,4,#9E0142,Copalis River to Quinault Indian Nation boundary,yes
Kalaloch,5,#7F7F7F,Within Olympic National Park,no
